district_no,year,Field_ha,Harvested_t,Yield_dt/ha,kreisYield,kreisField_ha,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,temp_mean_early_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,producer_price_index,fertilizer_price_index,energy_price_index
1060,2019,9700.0,842800.0,870.7,87.71,977.1298943641552,222.24788,16.811007,3,14.552205,14299665.0,34.30699266787498,50.82564035364499,258.0,15.0,121.0,90.0,102.65,110.55
1060,2020,9900.0,802800.0,809.6,76.03,929.7146727646805,167.74579,16.772795,5,14.17349,14653286.0,34.30699266787498,50.82564035364499,269.0,8.0,105.0,100.0,100.0,100.0
1060,2021,9200.0,783300.0,846.9,82.84,899.903175227414,230.36739,16.96342,0,14.339193,13734829.0,34.30699266787498,50.82564035364499,257.0,22.0,129.0,105.1,114.25,118.325
1061,2017,8100.0,616200.0,765.2,72.7,769.5635118014068,316.46848,15.8413315,0,14.868779,13581789.0,8.498057820216552,61.49693127291663,254.0,24.0,135.0,96.7,94.2,101.7
1061,2018,9400.0,640500.0,683.6,65.86,905.6231701205045,111.71308,17.858156,7,16.688988,16091189.0,8.498057820216552,61.49693127291663,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
1061,2019,9700.0,842800.0,870.7,82.63,920.5363490059304,231.1923,16.875362,3,14.542557,14556946.0,8.498057820216552,61.49693127291663,258.0,15.0,121.0,90.0,102.65,110.55
1061,2020,9900.0,802800.0,809.6,79.2,968.4782596733223,176.44615,16.822771,7,14.234939,14727829.0,8.498057820216552,61.49693127291663,269.0,8.0,105.0,100.0,100.0,100.0
1061,2021,9200.0,783300.0,846.9,76.46,830.5962913796242,244.44383,17.01466,0,14.2987585,14001810.0,8.498057820216552,61.49693127291663,257.0,22.0,129.0,105.1,114.25,118.325
3101,2017,102600.0,8475800.0,826.2,76.84,9542.222210672691,320.5467,16.623232,0,15.896208,13767091.0,79.36886014887196,46.774093627551125,254.0,24.0,135.0,96.7,94.2,101.7
3101,2018,103400.0,7202700.0,696.3,69.5,10320.695087863429,98.136665,19.130045,12,17.474417,17130384.0,79.36886014887196,46.774093627551125,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3101,2019,103400.0,7668800.0,741.7,72.34,10084.880665923041,144.08665,17.990467,9,15.819146,15128691.0,79.36886014887196,46.774093627551125,258.0,15.0,121.0,90.0,102.65,110.55
3101,2020,99300.0,7861900.0,791.6,72.26,9064.449205325356,179.58334,17.839859,5,14.887779,15071155.0,79.36886014887196,46.774093627551125,269.0,8.0,105.0,100.0,100.0,100.0
