district_no,avg_elevation,avg_soil_pawc
08425,606.9436369425779,51.33948169282452
08115,470.12728664485354,48.94521501984948
08211,348.4807307348835,61.88524677680514
08426,591.2191950412184,46.22092495159257
08435,509.6451279850925,44.563155017604075
08315,630.3262670455495,59.10398044620179
08235,602.7310083302959,63.04296716016678
08316,400.2536251290681,57.577720791780365
08236,344.5751020205356,54.83696557366395
08116,405.42326998780766,47.57106300232231
08311,348.1592801641659,52.84836467711938
08237,671.9066988824525,62.43855560842635
08117,529.7905551701126,58.8354841916069
08221,224.38583580685565,59.10213425697269
08135,563.1313141604696,49.58376415770445
08125,256.19008124886005,52.63757019254051
08121,205.06973393977478,51.87046459605735
08126,336.4091301756647,55.46941274867426
08215,177.52681894776447,50.89967809672198
08212,136.63946411811875,52.69655821292977
08335,523.9657503956988,40.33646911363499
08336,589.8954519500072,63.354723280651314
08118,282.4640191800873,46.63304415170457
08128,333.40966965901134,51.929721011856586
08222,98.12139758716438,41.37472330983985
08225,355.92770085814504,55.70083988664711
08317,341.16015157859397,57.75733944169216
08136,511.27449327194546,53.95032864229496
08231,377.23027538687137,64.18558535301473
08216,345.6893364690716,59.39693431065192
08436,634.5472553824981,54.56626062034585
08119,382.74003891405704,56.07542370943023
08415,679.6749319707452,61.111247172791245
08226,209.02486963113478,54.230921024529486
08325,638.0526410637576,61.820787075980796
08127,438.4217083344317,55.9660877410672
08326,812.1760088924373,61.93864290097668
08437,674.2397170257681,49.55458230702874
08111,354.9420980627743,47.02420308255134
08416,448.1646930497327,46.87016127460084
08327,777.6081977549633,60.090590350002536
08421,536.7313610360313,43.70521133173014
08337,696.5870479283637,59.668605741639745
08417,714.5719257742226,61.650189931049745
09771,488.8423700832919,41.31451596523443
09171,439.9440029199491,51.53609114100415
09371,469.75933765454613,47.26774519841878
09361,414.2155734953746,39.958386562504856
09561,456.3299223768882,45.30968635088426
09571,449.61867557887064,44.64995754944797
09661,169.43594590767705,56.736483393824805
09671,300.7262300374704,57.35073939206801
09761,495.6830230908748,44.165112177714796
09772,510.95619728675194,43.52074393646736
09672,378.59059986764396,54.50920750922612
09173,840.013844624907,64.99580874268914
09461,267.82247161021576,43.28878314230201
09471,354.51425311703053,46.39872623882177
09462,381.1118532196472,44.33134068556825
09472,500.10181266765096,53.879358999365614
09172,965.1661397300294,71.71266256485679
09372,527.3328535124148,44.9618477687295
09463,340.32530660126724,44.40474571429117
09473,353.7904271423471,45.218517058585704
09174,497.4195387326888,42.40783205362409
09271,407.29489499139714,50.91396782333208
09773,454.59751391066357,41.17990861550313
09279,406.1664700824181,44.82995494398418
09779,460.92054801805193,42.675937419069754
09175,547.7265213438604,50.51750983582721
09176,467.73358623938043,44.97050160649565
09177,486.1818432301588,45.0013349006324
09572,321.519087521711,42.338211253587566
09562,295.60200854834636,42.30914760538697
09179,543.671344847516,44.93198598146209
09563,307.071968717044,41.11379817827849
09573,355.12600336415136,39.8564981078154
09474,399.792066512851,48.907831448068855
09178,467.81515302194964,43.12180830083252
09272,724.448949100668,63.582228107214426
09774,506.25228386240246,43.53821514599303
09180,1115.6683473011515,69.13202264637094
09674,328.89888500557123,46.22027646058158
09464,531.6422022711314,51.58556816908962
09475,581.1930344893303,55.08901230747167
09161,373.5096750258926,39.55312044509245
09762,720.3322137058539,64.4289209655223
09273,428.14115608089963,43.424758058301244
09763,723.5025205602071,66.0745964055712
09675,278.4854999450129,45.36807458445826
09476,504.1631188138885,59.51363712492085
09477,444.59590577821155,51.28303442774183
09181,627.7717723774085,49.032628629115536
