Year,Crop,Land,Field_ha,Harvested_t,Yield_dt/ha
2024,Sugar beet,Berlin,-,-,-
2024,Sugar beet,Brandenburg,6100,458300,755.8
2024,Sugar beet,Bremen,-,-,-
2024,Sugar beet,Hamburg,0,/,/
2024,Sugar beet,Hessen,18000,1552700,862.3
2024,Sugar beet,Mecklenburg-Vorpommern,33600,2727900,812.2
2024,Sugar beet,Niedersachsen,118500,10599900,894.3
2024,Sugar beet,Nordrhein-Westfalen,61100,5146800,842.8
2024,Sugar beet,Rheinland-Pfalz,17800,1432500,805.6
2024,Sugar beet,Saarland,0,/,/
2024,Sugar beet,Sachsen,16900,1403600,830.6
2024,Sugar beet,Sachsen-Anhalt,54500,4116300,754.8
2024,Sugar beet,Schleswig-Holstein,9900,774100,779.9
2024,Sugar beet,Thüringen,14000,1163000,830.3

