district_no,year,winter_cropland_ndvi_mean,winter_cropland_ndvi_anomaly,winter_cropland_LST_mean,winter_cropland_LST_anomaly,winter_cropland_snow_cover_days
08425,2001,0.482017286342339,0.19322505269657309,2.9885751662492117,1.473460874150628,1.709119078076174
08115,2001,0.4919980047282657,0.09610625085859337,4.416733698209011,1.552614525693583,2.094749064556497
08211,2001,0.4259144536243108,0.03019935119007644,5.408339093464933,0.8598257386228836,0.1571512654502649
08426,2001,0.5130952450331094,0.17930792212888014,3.3826593440167843,1.7017524192481386,2.3485934388050964
08435,2001,0.46814918740329453,0.1342681563626773,3.3815744041193163,1.0259510565362242,2.3319546784863956
08315,2001,0.3948902427712075,0.045194653451767985,5.285771863872589,0.658311455041785,0.6421978705752214
08235,2001,0.5260938760549335,0.12528547520393724,3.641766271413315,1.5257935489846082,2.582627864327659
08316,2001,0.42383326040287483,0.02393024772669572,6.069938655272126,1.0279519798192869,0.5527955785063979
08236,2001,0.49588471758002056,0.05297942575837772,4.789643048662421,1.4934833583033873,1.3916086151976945
08116,2001,0.467985526609021,0.06771539706551022,4.991881609349851,1.5843150444342706,1.5215255183372975
08311,2001,0.43892819528448124,0.01464449158337816,6.083113497731787,0.9205971391912646,0.10144822853840875
08237,2001,0.5456578854356142,0.1757689788659476,3.8849356393646217,1.7077061707992898,2.2153774950055958
08117,2001,0.5187064612436372,0.1490907311444391,3.9099205446583034,1.6947497774740725,2.309866549400056
08221,2001,0.3701398077414258,-0.0011895416934435965,4.67791555946739,-0.0432848471620888,2.125621890547264
08135,2001,0.4670975123714351,0.18318354730994973,2.9940937173761104,1.7298098191728741,1.0438472607564842
08125,2001,0.41622083143984345,0.027137102642536493,4.343714931271069,0.8828692125082118,1.3969573759652973
08121,2001,0.3485525008999241,-0.008784438536234396,4.524120555172651,0.6595222422686975,1.886015164279697
08126,2001,0.5098348408363227,0.09652014840620426,3.5711973995578967,0.770709370067229,1.886823124195803
