Experiment,MAE_Overall,MAE_2003,MAE_2018
Proposed System (Soft Voting),47.87802190454996,71.92000942246048,87.9277876946504
Arch: Hard Switching,43.57891471990894,58.51725711198006,85.85389366277909
Arch: Equal Weighting,65.58739295902527,90.07782096690798,131.00996311949575
Feature: No Stress Signals,47.87802190454996,71.92000942246048,87.9277876946504
Data: 200dt/ha Filter,45.308840962487906,71.2932959344214,68.74561778959173
