year,district_no,kreisYield,Super_Ensemble_pred,Predicted_Best_Model,Prob_Hybrid_XGB,Prob_Native_Ensemble,Prob_Robust_Linear,Prob_Statistical_Trend,Prob_V31_Solar_Gated
2009,1051,711.0,650.3343598409585,Statistical_Trend,0.30444187,0.06806121,0.13643582,0.48277575,0.008285345
2010,1051,648.4,666.3273521880598,Statistical_Trend,0.2841604,0.10650121,0.27181652,0.32538036,0.012141484
2011,1051,714.9,687.8612396697652,Native_Ensemble,0.21531966,0.6069527,0.08932489,0.07564876,0.012753914
2012,1051,653.3,704.8181243751156,Robust_Linear,0.2690747,0.25136507,0.39615002,0.07486455,0.008545671
2013,1051,713.2,696.1545555538129,Robust_Linear,0.30981636,0.12434331,0.46684697,0.090510264,0.008483108
2014,1051,876.5,741.330070769385,V31_Solar_Gated,0.06004348,0.035683963,0.101004675,0.06955139,0.7337164
2015,1051,740.9,771.1365730752789,Robust_Linear,0.27367002,0.22256179,0.39907885,0.08674693,0.017942417
2016,1051,756.1,762.1192422109124,Native_Ensemble,0.25536633,0.3551592,0.23160242,0.14716016,0.010711901
2017,1051,756.5,786.3744510645874,Hybrid_XGB,0.45703268,0.07267884,0.1330054,0.32781434,0.009468694
2018,1051,672.5,771.7863373697688,Hybrid_XGB,0.36226782,0.07457796,0.19108692,0.36042872,0.011638519
2019,1051,861.7,779.7790318148213,Statistical_Trend,0.28743824,0.07179227,0.2896095,0.34423578,0.006924261
2020,1051,815.0,778.5390932790973,Native_Ensemble,0.27274606,0.46625876,0.07044587,0.1824706,0.008078717
2021,1051,898.2,808.6570805380259,Native_Ensemble,0.30132812,0.49120733,0.11455178,0.08515497,0.0077578137
2022,1051,788.6,834.0807849992672,Native_Ensemble,0.3522699,0.3888383,0.1524035,0.09741497,0.009073246
2023,1051,808.1,827.438011234489,Hybrid_XGB,0.2986531,0.28790626,0.2704187,0.13166602,0.011355924
2024,1051,739.6,832.0771164632159,Robust_Linear,0.286046,0.09123638,0.4497169,0.16318423,0.009816491
2000,1053,564.2,498.5070040858095,Robust_Linear,0.09284412,0.009911429,0.707922,0.18342058,0.0059019323
2001,1053,551.3,535.4788686620963,Robust_Linear,0.248367,0.017801367,0.655304,0.07217305,0.0063546496
2002,1053,522.3,536.4796780205958,Hybrid_XGB,0.5601556,0.028087085,0.14144461,0.26051718,0.009795585
2003,1053,563.9,544.9673555741156,Hybrid_XGB,0.408329,0.018256295,0.39240533,0.17198059,0.00902877
2004,1053,590.3,550.0382451431032,Statistical_Trend,0.38065696,0.03419199,0.18409373,0.3899859,0.011071492
2005,1053,620.4,577.8056008996506,Native_Ensemble,0.25925007,0.5276628,0.12554754,0.08047624,0.007063353
2006,1053,618.6,602.4609405829192,Native_Ensemble,0.18274629,0.5287393,0.19059677,0.09085502,0.007062616
2007,1053,605.6,619.1812986893424,Native_Ensemble,0.31397784,0.48855257,0.09112075,0.098693766,0.007655082
2008,1053,622.3,654.1762106572136,V31_Solar_Gated,0.061792564,0.1372863,0.04288414,0.36332843,0.3947086
2009,1053,656.4,629.1069334723063,Statistical_Trend,0.2348868,0.1040862,0.18263577,0.46860334,0.009787848
2010,1053,619.6,621.6777369729679,Robust_Linear,0.19405973,0.10702513,0.42686576,0.26001203,0.012037369
2011,1053,671.5,653.8361372279389,Native_Ensemble,0.15205418,0.6392096,0.11647879,0.07232645,0.019930972
2012,1053,632.9,668.3830016492393,Native_Ensemble,0.24589461,0.46914867,0.23261288,0.045572717,0.0067711524
2013,1053,640.6,675.6818001012704,Robust_Linear,0.27704608,0.11121409,0.5509411,0.052579556,0.008219213
2014,1053,801.9,708.651058252437,V31_Solar_Gated,0.03418579,0.046066653,0.06312883,0.034651853,0.8219669
2015,1053,732.7,726.9125507138581,V31_Solar_Gated,0.09075955,0.07463411,0.1993372,0.26826304,0.36700612
2016,1053,759.5,720.3041459789856,Native_Ensemble,0.2675048,0.41099077,0.20641895,0.10565445,0.00943099
2017,1053,794.3,756.0384629236626,Native_Ensemble,0.23609833,0.40353182,0.2823828,0.07066721,0.0073198397
2018,1053,646.7,673.7897120494521,Hybrid_XGB,0.39719722,0.06167246,0.13785507,0.055620678,0.34765452
2019,1053,880.8,770.6544967448184,Native_Ensemble,0.27834263,0.38511315,0.26497695,0.06411813,0.007449099
2020,1053,754.9,768.1019079123412,Native_Ensemble,0.32434452,0.42737022,0.14109741,0.09826279,0.008925064
2021,1053,819.8,795.4972832668001,Hybrid_XGB,0.3348432,0.27847812,0.26058042,0.11379262,0.012305667
2022,1053,731.6,821.4679247286232,Native_Ensemble,0.33110055,0.3869896,0.22469333,0.050168265,0.0070482157
2023,1053,869.0,809.8228259219699,Native_Ensemble,0.29125854,0.38554668,0.217966,0.09596068,0.009268099
2024,1053,843.7,804.8810716538039,Robust_Linear,0.31250542,0.12382036,0.39544803,0.15767099,0.01055526
2000,1054,571.7,509.7701805227966,Statistical_Trend,0.138121,0.01669677,0.0865762,0.75325775,0.005348293
2001,1054,539.3,536.3235779052411,Robust_Linear,0.13513207,0.02407749,0.6622056,0.1721547,0.0064302078
2002,1054,583.7,553.2396630045673,Statistical_Trend,0.24012974,0.027487615,0.19500464,0.5286257,0.008752347
2003,1054,595.4,572.3366955934516,Statistical_Trend,0.2564429,0.026056767,0.17889942,0.5271222,0.011478748
2004,1054,574.8,618.5105229824425,V31_Solar_Gated,0.20083886,0.014750862,0.07876781,0.23103788,0.47460455
2005,1054,595.5,597.5993420997312,Native_Ensemble,0.19830064,0.40631816,0.16778834,0.21508239,0.012510521
2006,1054,593.9,603.988246669619,Native_Ensemble,0.15715185,0.5120646,0.18104045,0.14065051,0.0090925805
2007,1054,594.2,627.9178728316083,V31_Solar_Gated,0.12095295,0.06303568,0.08582661,0.23189145,0.49829328
2008,1054,597.4,632.1827158141399,V31_Solar_Gated,0.18136367,0.12134711,0.054448318,0.07784745,0.5649935
2009,1054,683.2,608.2261759232401,Statistical_Trend,0.13795605,0.058081847,0.11076181,0.686352,0.006848308
2010,1054,650.5,626.4930369357846,Statistical_Trend,0.15485415,0.06791253,0.17811872,0.59129095,0.0078236405
2011,1054,710.2,660.64158205386,Robust_Linear,0.30618587,0.19984454,0.36914936,0.11102515,0.013795082
2012,1054,670.0,681.1469225221203,Native_Ensemble,0.16284572,0.50673383,0.2587937,0.06580062,0.005826133
2013,1054,778.1,695.7146726852347,Native_Ensemble,0.17817634,0.5368048,0.16538034,0.11206945,0.0075691105
2014,1054,935.6,754.3343298928316,V31_Solar_Gated,0.08041512,0.09220348,0.09878289,0.107413895,0.6211846
2015,1054,701.6,783.4632979931162,Robust_Linear,0.1956775,0.27272406,0.3870006,0.13421096,0.01038683
2018,1054,709.3,754.1019898222694,V31_Solar_Gated,0.0932064,0.1000983,0.1023749,0.030912912,0.67340755
2019,1054,991.8,791.8695922139088,Native_Ensemble,0.238205,0.42795968,0.2616602,0.065597735,0.006577417
2020,1054,885.7,834.9284063019577,Native_Ensemble,0.22640246,0.3231546,0.29903632,0.14001885,0.011387765
2021,1054,933.1,868.9816551858389,Native_Ensemble,0.20124914,0.34352654,0.32475838,0.118499,0.011967063
2022,1054,832.7,904.8948775049043,Robust_Linear,0.20267391,0.22146055,0.493523,0.07420005,0.008142516
2023,1054,1008.2,892.4087472273411,Robust_Linear,0.19570631,0.32152003,0.35709018,0.113172546,0.012510972
2024,1054,840.8,925.095659294532,Robust_Linear,0.23357217,0.30288184,0.31254882,0.14068554,0.010311683
2000,1055,550.8,511.26564711030824,Statistical_Trend,0.069160126,0.008441499,0.059804477,0.84734637,0.015247479
2001,1055,514.3,540.7315172188547,Robust_Linear,0.2402176,0.024775218,0.59662396,0.13008974,0.008293531
2002,1055,562.8,540.2274459576968,Statistical_Trend,0.2985348,0.019969363,0.08889788,0.5861231,0.0064748107
2003,1055,502.3,549.7762650970833,Hybrid_XGB,0.4788829,0.022893606,0.25239098,0.23672922,0.009103266
2004,1055,587.9,541.7584096744803,Statistical_Trend,0.31157178,0.021409953,0.08188451,0.5787979,0.0063358396
2005,1055,584.4,556.4455598949868,Native_Ensemble,0.23929785,0.51272315,0.11748564,0.122857615,0.007635775
2006,1055,582.8,579.8501401930125,Native_Ensemble,0.23069349,0.43599463,0.22969872,0.096811496,0.0068017854
2007,1055,574.1,593.5933833928946,Robust_Linear,0.3411458,0.13357559,0.37388346,0.14103074,0.010364364
2008,1055,586.3,622.7872956536714,V31_Solar_Gated,0.17236252,0.11340976,0.07154634,0.09540181,0.54727954
2009,1055,676.5,598.2951248385222,Native_Ensemble,0.2185544,0.47215047,0.23420033,0.06845997,0.006634885
2010,1055,626.3,615.8653199421143,Native_Ensemble,0.16326764,0.3306914,0.27260295,0.22632362,0.0071143936
2011,1055,628.3,647.1930441052094,Native_Ensemble,0.15993087,0.4464912,0.26645398,0.114086986,0.013037066
2012,1055,652.9,649.1104637943504,Robust_Linear,0.24535356,0.27508175,0.37662902,0.094580576,0.008355092
2013,1055,657.3,663.2687760176062,Robust_Linear,0.2597939,0.24073009,0.41173476,0.07931593,0.008425361
2014,1055,894.2,716.1914777675765,V31_Solar_Gated,0.046578173,0.023765707,0.032126214,0.09883404,0.7986958
2015,1055,611.9,745.2010000994508,Robust_Linear,0.16309536,0.08133305,0.39147338,0.10722808,0.25687012
2023,1055,795.4,822.1133123153668,Robust_Linear,0.2875386,0.20724262,0.34970054,0.13647544,0.019042792
2000,1056,444.7,472.53210844193296,Statistical_Trend,0.10534468,0.013201641,0.24747044,0.51499134,0.11899191
2001,1056,509.2,487.50833108367044,Robust_Linear,0.32139698,0.019135393,0.46305954,0.18499267,0.011415479
2002,1056,458.2,492.854209213896,Hybrid_XGB,0.35464612,0.028130863,0.33433285,0.2741431,0.008747137
2003,1056,495.6,494.153882256453,Hybrid_XGB,0.35209158,0.028031796,0.322743,0.2836097,0.013523901
2004,1056,569.7,496.078558343929,Robust_Linear,0.3362563,0.026671054,0.4965214,0.1294876,0.011063627
2005,1056,539.7,524.8132325779023,Native_Ensemble,0.15327357,0.48115632,0.26663303,0.090849005,0.008088112
2006,1056,538.2,538.6901175552728,Robust_Linear,0.16258365,0.19954117,0.5196708,0.10949646,0.008707954
2008,1056,541.4,562.7180783078753,Native_Ensemble,0.2507692,0.3855766,0.20311022,0.1459367,0.014607313
2000,1057,513.1,496.3574606477969,Statistical_Trend,0.0608275,0.008290199,0.06959234,0.8454409,0.015849104
2001,1057,501.0,520.0597496403999,Robust_Linear,0.25349623,0.026203176,0.44059125,0.27092153,0.008787875
