ID,Description,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LWPR-1,Pflanzliche Erzeugung,86.9,90.5,96.5,95.4,97.0,96.3,89.8,88.2,88.8,86.1,87.5,87.5,89.8,80.4,75.1,78.5,78.7,75.1,74.3,74.0,69.1,68.6,73.7,71.2,76.4,70.9,66.6,76.3,89.9,90.1,69.5,82.8,95.9,104.7,99.5,86.0,91.4,92.6,93.1,102.7,101.9,100.0,114.3,145.0,144.1,136.8
LWPR-132,Zuckerrüben,127.7,131.4,134.5,143.0,145.1,140.2,137.7,137.7,137.7,136.4,133.5,132.9,132.9,132.9,131.2,131.2,131.2,117.9,124.7,124.5,111.5,121.9,126.7,119.8,127.8,124.0,120.2,105.3,95.5,89.2,84.2,110.2,139.8,155.3,150.4,106.8,109.9,111.4,96.7,95.4,90.0,100.0,105.1,157.7,189.9,148.3
