district_no,year,yield
1056,1983,30.04
1056,1984,42.82
1056,1985,43.1
1056,1986,45.09
1056,1987,36.07
1056,1988,42.79
1056,1989,45.81
1056,1990,48.55
1056,1991,43.3
1056,1992,43.54
1056,1993,49.26
1056,1994,36.71
1056,1995,40.9
1056,1996,44.76
1056,1997,41.08
1056,1998,46.91
1056,1999,50.9
1056,2000,44.47
1056,2001,50.92
1056,2002,45.82
1056,2003,49.56
1056,2004,56.97
1056,2005,53.97
1056,2006,53.82
1056,2008,54.14
1057,1979,38.6
1057,1980,37.3
1057,1981,43.6
1057,1982,44.88
1057,1983,31.39
1057,1984,44.14
1057,1985,44.17
1057,1986,44.01
1057,1987,32.43
1057,1988,44.92
1057,1989,45.6
1057,1990,48.67
1057,1991,46.27
1057,1992,43.67
1057,1993,48.5
1057,1994,42.61
1057,1995,44.1
1057,1996,44.42
1057,1997,48.74
1057,1998,44.78
1057,1999,54.26
1057,2000,51.31
1057,2001,50.1
1057,2002,52.53
1057,2003,47.43
1057,2004,54.31
1057,2005,54.77
1057,2006,54.62
1057,2007,50.81
1057,2008,54.95
1057,2009,64.14
1057,2010,62.56
1057,2011,70.22
1057,2012,62.99
1057,2013,67.77
1057,2014,74.43
1057,2015,69.24
1058,1979,37.5
1058,1980,38.3
1058,1981,41.8
1058,1982,44.65
1058,1983,33.07
1058,1984,43.49
1058,1985,44.73
1058,1986,43.81
1058,1987,29.7
1058,1988,45.26
1058,1989,47.55
1058,1990,48.88
1058,1991,46.64
1058,1992,46.71
1058,1993,48.84
1058,1994,47.86
1058,1995,48.32
1058,1996,45.53
1058,1997,51.6
1058,1998,49.55
1058,1999,56.83
1058,2000,57.06
1058,2001,54.5
1058,2002,54.49
1058,2003,55.03
1058,2004,57.38
1058,2005,60.93
1058,2006,60.76
1058,2007,65.26
1058,2008,61.12
1058,2009,67.08
1058,2010,62.15
1058,2011,67.57
1058,2012,62.51
1058,2013,72.93
1058,2014,85.6
1058,2015,78.04
1058,2016,78.8
1058,2017,74.04
1058,2018,74.42
1058,2019,83.81
1058,2020,81.04
1058,2021,81.67
1059,1979,36.7
1059,1980,37.6
1059,1981,41.2
1059,1982,44.8
1059,1983,32.15
1059,1984,43.24
1059,1985,41.58
1059,1986,40.46
1059,1987,29.9
1059,1988,43.61
1059,1989,44.59
1059,1990,49.11
1059,1991,43.57
1059,1992,45.63
1059,1993,48.21
1059,1994,45.89
1059,1995,45.5
1059,1996,45.18
1059,1997,52.99
1059,1998,47.01
1059,1999,50.98
1059,2000,53.19
1059,2001,51.78
1059,2002,53.64
1059,2003,54.55
1059,2004,55.46
1059,2005,53.38
1059,2006,53.24
1059,2007,59.43
1059,2008,53.55
1059,2009,68.01
1059,2010,62.4
1059,2011,75.4
1059,2012,67.68
1059,2013,69.49
1059,2014,89.27
1059,2015,64.33
1059,2016,76.2
1059,2017,74.21
1059,2018,76.15
1059,2019,83.37
1059,2020,83.2
1059,2021,81.92
1060,1979,37.5
1060,1980,34.9
1060,1981,43.6
1060,1982,43.68
1060,1983,30.48
1060,1984,43.47
1060,1985,45.5
1060,1986,44.8
1060,1987,32.74
1060,1988,45.28
1060,1989,46.94
1060,1990,48.23
1060,1991,42.69
1060,1992,45.56
1060,1993,48.93
1060,1994,41.95
1060,1995,40.24
1060,1996,44.66
1060,1997,49.83
1060,1998,46.91
1060,1999,51.83
1060,2000,54.17
1060,2001,52.29
1060,2002,47.95
1060,2003,50.79
1060,2004,55.33
1060,2005,55.11
1060,2006,54.96
1060,2007,58.66
1060,2008,55.29
1060,2009,66.79
1060,2010,56.84
1060,2011,71.48
1060,2012,65.36
1060,2013,60.61
1060,2014,82.07
1060,2015,67.07
1060,2016,76.18
1060,2017,78.3
1060,2018,57.12
1060,2019,87.71
1060,2020,76.03
1060,2021,82.84
1061,1979,38.3
1061,1980,35.8
1061,1981,42.3
1061,1982,39.0
1061,1983,28.47
1061,1984,42.58
1061,1985,47.4
1061,1986,46.23
1061,1987,29.67
1061,1988,45.32
1061,1989,42.12
1061,1990,48.65
1061,1991,41.38
1061,1992,44.17
1061,1993,49.85
1061,1994,40.09
1061,1995,40.4
1061,1996,40.7
1061,1997,47.26
1061,1998,44.78
1061,1999,49.16
1061,2000,53.06
1061,2001,51.08
1061,2002,46.25
1061,2003,44.21
1061,2004,53.59
1061,2005,55.57
1061,2006,55.42
1061,2007,54.44
1061,2008,55.74
1061,2009,58.13
1061,2010,53.87
1061,2011,64.73
1061,2012,57.17
1061,2013,63.09
1061,2014,76.43
1061,2015,69.01
1061,2016,73.55
1061,2017,72.7
1061,2018,65.86
1061,2019,82.63
1061,2020,79.2
1061,2021,76.46
1062,1979,37.1
1062,1980,37.0
1062,1981,41.5
1062,1982,46.38
1062,1983,32.37
1062,1984,46.03
1062,1985,44.23
1062,1986,46.38
1062,1987,35.58
1062,1988,45.29
1062,1989,45.99
1062,1990,49.45
1062,1991,44.79
1062,1992,46.87
1062,1993,47.58
1062,1994,42.57
1062,1995,40.0
1062,1996,48.38
1062,1997,53.98
1062,1998,46.01
1062,1999,51.0
1062,2000,53.03
1062,2001,54.32
1062,2002,50.07
1062,2003,52.26
1062,2004,51.22
1062,2005,53.72
1062,2006,53.57
1062,2007,57.57
1062,2008,53.89
1062,2009,65.35
1062,2010,61.84
1062,2011,72.02
1062,2012,69.0
1062,2013,68.0
1062,2014,79.62
1062,2015,72.64
3101,1979,41.18
3101,1980,45.12
3101,1981,43.99
3101,1982,50.2
3101,1983,30.9
3101,1984,45.84
3101,1985,47.9
3101,1986,48.56
3101,1987,46.42
3101,1988,39.79
3101,1989,44.78
3101,1990,54.61
3101,1991,49.48
3101,1992,47.71
3101,1993,53.44
3101,1994,47.7
3101,1995,48.28
3101,1996,46.63
3101,1997,45.08
3101,1998,51.23
3101,1999,53.16
3101,2000,55.66
3101,2001,52.75
3101,2002,54.39
3101,2003,53.2
3101,2004,57.13
3101,2005,55.49
3101,2006,50.17
3101,2007,59.5
3101,2008,59.34
3101,2009,68.48
3101,2010,61.28
3101,2011,69.85
3101,2012,67.4
3101,2013,55.56
3101,2014,78.63
3101,2015,71.84
3101,2016,75.57
3101,2017,76.84
3101,2018,69.5
3101,2019,72.34
3101,2020,72.26
3101,2021,77.36
3102,1979,44.26
3102,1980,46.14
3102,1981,48.66
3102,1982,53.59
3102,1983,34.17
3102,1984,47.4
3102,1985,49.34
3102,1986,51.92
3102,1987,49.11
3102,1988,46.41
3102,1989,52.46
3102,1990,58.61
3102,1991,53.31
3102,1992,51.77
3102,1993,56.98
3102,1994,47.05
3102,1995,53.78
3102,1996,52.23
3102,1997,51.94
3102,1998,55.09
3102,1999,58.59
3102,2000,59.71
3102,2001,58.24
3102,2002,59.2
3102,2003,59.41
3102,2004,61.22
3102,2005,61.7
3102,2006,53.24
3102,2007,66.25
3102,2008,66.69
3102,2009,71.49
3102,2010,63.28
3102,2011,75.21
3102,2012,69.83
3102,2013,64.56
3102,2014,81.69
3102,2015,81.12
3102,2016,86.21
3102,2017,89.36
3102,2018,65.23
3102,2019,77.05
3102,2020,80.29
3102,2021,90.78
3103,1979,32.27
3103,1980,38.85
3103,1981,39.96
3103,1982,40.44
3103,1983,30.6
3103,1984,38.85
3103,1985,42.97
3103,1986,41.94
3103,1987,42.28
3103,1988,37.91
3103,1989,38.37
3103,1990,50.14
3103,1991,47.78
3103,1992,38.67
3103,1993,54.92
3103,1994,45.63
3103,1995,43.8
3103,1996,47.89
3103,1997,48.39
3103,1998,51.33
3103,1999,52.56
3103,2000,57.84
3103,2001,51.4
3103,2002,46.58
3103,2003,52.99
3103,2004,57.66
3103,2005,55.51
3103,2006,52.43
3103,2007,58.66
3103,2008,58.72
3103,2009,66.71
3103,2010,56.83
3103,2011,68.17
3103,2012,68.97
3103,2013,63.47
3103,2014,81.61
3103,2015,67.62
3103,2016,78.1
3103,2017,78.2
3103,2018,44.63
3103,2020,74.78
3151,1979,39.47
3151,1980,41.29
3151,1981,44.06
3151,1982,46.24
3151,1983,36.78
3151,1984,42.97
3151,1985,47.1
3151,1986,47.19
3151,1987,45.27
3151,1988,40.14
3151,1989,46.01
3151,1990,49.95
3151,1991,49.07
3151,1992,47.83
3151,1993,52.46
3151,1994,48.98
3151,1995,48.91
3151,1996,47.93
3151,1997,49.53
3151,1998,51.64
3151,1999,54.23
3151,2000,57.31
3151,2001,54.81
3151,2002,51.52
3151,2003,61.57
3151,2004,58.26
3151,2005,59.01
3151,2006,56.8
3151,2007,61.66
3151,2008,63.62
3151,2009,70.54
3151,2010,61.69
3151,2011,73.9
3151,2012,73.39
3151,2013,65.15
3151,2014,84.69
3151,2015,76.04
3151,2016,79.07
3151,2017,80.12
3151,2018,75.15
3151,2019,74.67
3151,2020,77.81
3151,2021,80.22
3153,1979,40.05
3153,1980,42.37
3153,1981,45.16
3153,1982,49.91
3153,1983,29.09
3153,1984,44.7
3153,1985,49.8
3153,1986,50.84
3153,1987,47.0
3153,1988,42.16
3153,1989,47.18
3153,1990,54.98
3153,1991,47.67
3153,1992,48.78
3153,1993,55.88
3153,1994,48.13
3153,1995,48.85
3153,1996,46.69
3153,1997,51.65
3153,1998,53.69
3153,1999,56.12
3153,2000,58.78
3153,2001,55.77
3153,2002,56.33
3153,2003,60.18
3153,2004,59.78
3153,2005,58.56
3153,2006,52.02
3153,2007,66.85
3153,2008,68.31
3153,2009,71.82
3153,2010,63.96
3153,2011,74.54
3153,2012,69.41
3153,2013,61.36
3153,2014,80.84
3153,2015,78.36
3153,2016,83.94
3153,2017,85.69
3153,2018,63.27
3153,2019,79.57
3153,2020,79.79
3153,2021,85.36
3154,1979,39.49
3154,1980,42.46
3154,1981,43.15
3154,1982,46.89
3154,1983,27.71
3154,1984,41.74
3154,1985,47.53
3154,1986,45.98
3154,1987,44.61
3154,1988,31.34
3154,1989,40.53
3154,1990,49.45
3154,1991,45.78
3154,1992,44.52
3154,1993,54.89
3154,1994,45.54
3154,1995,46.55
3154,1996,47.82
3154,1997,47.0
3154,1998,52.3
3154,1999,51.28
3154,2000,57.39
3154,2001,52.4
3154,2002,53.26
3154,2003,54.27
3154,2004,56.98
3154,2005,56.98
3154,2006,48.86
3154,2007,59.69
3154,2008,58.53
3154,2009,66.18
3154,2010,58.4
3154,2011,70.63
3154,2012,69.13
3154,2013,56.94
3154,2014,78.34
3154,2015,73.43
3154,2016,74.49
3154,2017,78.37
3154,2018,53.7
3154,2019,68.84
3154,2020,69.86
3154,2021,76.06
3155,1979,40.15
3155,1980,40.49
3155,1981,42.63
3155,1982,46.94
3155,1983,30.42
3155,1984,42.22
3155,1985,45.87
3155,1986,46.24
3155,1987,42.91
3155,1988,42.63
3155,1989,47.28
3155,1990,49.96
3155,1991,47.61
3155,1992,52.33
3155,1993,54.87
3155,1994,48.63
3155,1995,51.09
3155,1996,48.32
3155,1997,52.53
3155,1998,53.32
3155,1999,59.23
3155,2000,59.18
3155,2001,55.46
3155,2002,55.28
3155,2003,63.25
3155,2004,59.92
3155,2005,62.41
3155,2006,58.9
3155,2007,63.02
3155,2008,67.51
3155,2009,72.25
3155,2010,66.57
3155,2011,77.1
3155,2012,73.19
3155,2013,68.21
3155,2014,85.32
3155,2015,77.38
3155,2016,81.31
3155,2017,88.15
3155,2018,83.05
3155,2019,81.1
3155,2020,88.53
3155,2021,85.12
3157,1979,44.62
3157,1980,46.04
3157,1981,46.4
3157,1982,52.74
3157,1983,39.01
3157,1984,47.03
3157,1985,48.67
3157,1986,51.8
3157,1987,47.79
3157,1988,45.3
3157,1989,52.67
3157,1990,56.88
3157,1991,51.93
3157,1992,51.73
3157,1993,56.15
3157,1994,49.5
3157,1995,51.55
3157,1996,49.99
3157,1997,50.35
3157,1998,53.8
3157,1999,57.27
3157,2000,56.7
3157,2001,54.36
3157,2002,55.88
3157,2003,56.94
3157,2004,61.07
3157,2005,60.59
3157,2006,53.24
3157,2007,63.09
3157,2008,65.31
3157,2009,68.55
3157,2010,64.41
3157,2011,73.37
3157,2012,71.62
3157,2013,61.77
3157,2014,81.88
3157,2015,77.37
3157,2016,82.59
3157,2017,84.09
3157,2018,69.87
3157,2019,69.48
3157,2020,79.48
3157,2021,81.71
3158,1979,41.37
3158,1980,43.77
3158,1981,42.85
3158,1982,50.13
3158,1983,31.47
3158,1984,45.48
3158,1985,48.25
3158,1986,48.68
3158,1987,45.19
3158,1988,38.16
3158,1989,42.05
3158,1990,53.24
3158,1991,48.34
3158,1992,49.46
3158,1993,55.68
3158,1994,48.76
3158,1995,50.33
3158,1996,47.55
3158,1997,49.35
3158,1998,54.05
3158,1999,53.81
3158,2000,57.12
3158,2001,54.07
3158,2002,55.17
3158,2003,57.46
3158,2004,59.19
3158,2005,58.65
3158,2006,51.35
3158,2007,62.65
3158,2008,65.99
3158,2009,67.13
3158,2010,62.52
3158,2011,73.05
3158,2012,69.68
3158,2013,61.43
3158,2014,82.32
3158,2015,79.34
3158,2016,82.41
3158,2017,82.78
3158,2018,63.9
3158,2019,77.95
3158,2020,74.97
3158,2021,81.17
3159,1979,36.7117313842762
3159,1980,39.163505511013
3159,1981,40.4112928664448
3159,1982,44.2943917230892
3159,1983,32.3322660455674
3159,1984,40.7843701309314
3159,1985,45.6549356300997
3159,1986,46.3538284844752
3159,1987,42.1750118355929
3159,1988,41.1680579476139
3159,1989,44.792508190558
3159,1990,47.670455496825
3159,1991,43.8000771071978
3159,1992,49.2298927002649
3159,1993,50.7866068000868
3159,1994,46.9072802840504
3159,1995,49.1289624308287
3159,1996,47.0941639638281
3159,1997,50.6613369182273
3159,1998,50.4720371022661
3159,1999,56.8412815010729
3159,2000,56.773521725062
3159,2001,53.3552443223201
3159,2002,54.7607552435935
3159,2003,60.2811691928034
3159,2004,61.0207279503106
3159,2005,60.9024784046597
3159,2006,59.4259887886672
3159,2007,61.1380872527185
3159,2008,64.6473710106019
3159,2009,71.5692616504801
3159,2010,67.0468592577873
3159,2011,75.4195383357548
3159,2012,72.446299087225
3159,2013,67.9579331894763
3159,2014,83.6437786071442
3159,2015,76.3697085912519
3159,2016,82.3577495299735
3159,2017,86.57
3159,2018,68.4
3159,2019,77.23
3159,2020,85.2
3159,2021,85.87
3241,1979,44.0151650175351
3241,1980,44.1372245976509
3241,1981,45.1082500415076
3241,1982,50.391146372384
3241,1983,39.0005797146498
3241,1984,44.8789446434858
3241,1985,48.6401775905505
3241,1986,46.7374235861898
3241,1987,45.401063948363
3241,1988,45.2212914465777
3241,1989,49.849242984797
3241,1990,54.2175689996682
3241,1991,51.8184611068809
3241,1992,50.4600926711024
3241,1993,54.542517081333
3241,1994,49.5982242017816
3241,1995,50.1799318084246
3241,1996,50.7515884887001
3241,1997,51.5910014665059
3241,1998,54.5519905318069
3241,1999,59.3074747156778
3241,2000,59.7885765647773
3241,2001,56.06
3241,2002,56.43
3241,2003,60.54
3241,2004,61.67
3241,2005,61.79
3241,2006,58.44
3241,2007,66.16
3241,2008,66.4
3241,2009,71.05
3241,2010,65.37
3241,2011,76.7
3241,2012,73.16
3241,2013,67.46
3241,2014,83.0
3241,2015,79.68
3241,2016,82.02
3241,2017,85.45
3241,2018,74.81
3241,2019,74.78
3241,2020,82.52
3241,2021,84.76
3251,1979,39.47
3251,1980,42.01
3251,1981,43.39
3251,1982,43.41
3251,1983,36.25
3251,1984,45.76
3251,1985,46.7
3251,1986,44.17
3251,1987,44.2
3251,1988,43.94
3251,1989,46.62
3251,1990,49.48
3251,1991,49.65
3251,1992,48.28
3251,1993,52.54
3251,1994,48.81
3251,1995,48.26
3251,1996,48.95
3251,1997,51.07
3251,1998,52.19
3251,1999,51.25
3251,2000,57.45
3251,2001,54.38
3251,2002,52.37
3251,2003,51.79
3251,2004,59.2
3251,2005,58.02
3251,2006,56.32
3251,2007,64.06
3251,2008,64.11
3251,2009,68.85
3251,2010,63.0
3251,2011,75.24
3251,2012,71.71
3251,2013,71.81
3251,2014,83.37
3251,2015,78.17
3251,2016,74.97
3251,2017,83.6
3251,2018,53.63
3251,2019,62.66
3251,2020,77.31
3251,2021,81.42
3252,1979,41.94
3252,1980,41.25
3252,1981,44.29
3252,1982,49.48
3252,1983,35.45
3252,1984,43.25
3252,1985,46.36
3252,1986,46.62
3252,1987,44.07
3252,1988,45.97
3252,1989,51.45
3252,1990,52.41
3252,1991,50.54
3252,1992,51.33
3252,1993,55.81
3252,1994,51.07
3252,1995,51.76
3252,1996,52.34
3252,1997,54.0
3252,1998,54.43
3252,1999,62.14
3252,2000,61.12
3252,2001,56.44
3252,2002,56.43
3252,2003,64.84
3252,2004,63.23
3252,2005,65.19
3252,2006,61.77
3252,2007,68.06
3252,2008,69.19
3252,2009,75.18
3252,2010,66.54
3252,2011,81.02
3252,2012,75.4
3252,2013,68.58
3252,2014,86.85
3252,2015,78.68
3252,2016,81.41
3252,2017,86.76
3252,2018,78.89
3252,2019,83.27
3252,2020,88.27
3252,2021,86.29
3254,1979,44.25
3254,1980,45.12
3254,1981,45.92
3254,1982,52.46
3254,1983,35.2
3254,1984,45.23
3254,1985,48.51
3254,1986,50.41
3254,1987,46.53
3254,1988,46.34
3254,1989,51.79
3254,1990,55.69
3254,1991,49.73
3254,1992,51.67
3254,1993,55.58
3254,1994,49.74
3254,1995,53.42
3254,1996,51.76
3254,1997,52.56
3254,1998,55.61
3254,1999,59.63
3254,2000,58.85
3254,2001,56.8
3254,2002,58.21
3254,2003,60.76
3254,2004,61.33
3254,2005,61.3
3254,2006,55.62
3254,2007,63.83
3254,2008,66.11
3254,2009,71.32
3254,2010,63.55
3254,2011,76.89
3254,2012,71.69
3254,2013,66.63
3254,2014,82.3
3254,2015,80.59
3254,2016,83.39
3254,2017,85.16
3254,2018,71.17
3254,2019,77.85
3254,2020,83.99
3254,2021,86.11
3255,1979,42.35
3255,1980,41.87
3255,1981,42.27
3255,1982,46.9
3255,1983,33.53
3255,1984,40.98
3255,1985,45.51
3255,1986,46.08
3255,1987,40.36
3255,1988,43.11
3255,1989,44.05
3255,1990,49.63
3255,1991,49.12
3255,1992,51.01
3255,1993,52.52
3255,1994,50.02
3255,1995,50.79
3255,1996,50.79
3255,1997,52.44
3255,1998,51.55
3255,1999,62.46
3255,2000,60.69
3255,2001,55.38
3255,2002,54.06
3255,2003,61.24
3255,2004,61.94
3255,2005,63.78
3255,2006,61.1
3255,2007,64.79
3255,2008,66.06
3255,2009,73.52
3255,2010,64.24
3255,2011,78.32
3255,2012,75.97
3255,2013,65.21
3255,2014,83.78
