district_no,year,yield
5762,1989,49.07
5762,1990,50.84
5762,1991,49.16
5762,1992,53.78
5762,1993,57.64
5762,1994,51.37
5762,1995,54.47
5762,1996,50.26
5762,1997,53.88
5762,1998,53.21
5762,1999,61.7
5762,2000,62.21
5762,2001,54.08
5762,2002,53.15
5762,2003,57.74
5762,2004,60.85
5762,2005,55.92
5762,2006,56.52
5762,2007,60.31
5762,2008,64.79
5762,2009,66.51
5762,2010,70.7
5762,2011,78.88
5762,2012,77.41
5762,2013,75.5
5762,2014,90.06
5762,2015,76.62
5762,2016,84.54
5762,2017,98.24
5762,2018,63.75
5762,2019,81.5
5762,2020,85.14
5762,2021,81.94
5766,1979,43.01
5766,1980,43.1
5766,1981,47.67
5766,1982,50.96
5766,1983,38.79
5766,1984,44.76
5766,1985,48.56
5766,1986,49.63
5766,1987,44.76
5766,1988,51.88
5766,1989,57.26
5766,1990,56.68
5766,1991,54.2
5766,1992,57.75
5766,1993,60.7
5766,1994,56.43
5766,1995,54.99
5766,1996,57.61
5766,1997,57.64
5766,1998,53.53
5766,1999,65.06
5766,2000,65.37
5766,2001,54.83
5766,2002,55.48
5766,2003,66.18
5766,2004,62.24
5766,2005,67.76
5766,2006,62.51
5766,2007,66.33
5766,2008,68.85
5766,2009,68.13
5766,2010,72.33
5766,2011,80.95
5766,2012,78.98
5766,2013,76.89
5766,2014,92.83
5766,2015,85.95
5766,2016,78.76
5766,2017,76.29
5766,2018,69.29
5766,2019,78.07
5766,2020,86.25
5766,2021,84.65
5770,1979,43.17
5770,1980,41.85
5770,1981,47.58
5770,1982,45.37
5770,1983,38.9
5770,1984,45.35
5770,1985,51.22
5770,1986,49.41
5770,1987,47.56
5770,1988,48.45
5770,1989,58.0
5770,1990,54.81
5770,1991,52.37
5770,1992,54.93
5770,1993,55.89
5770,1994,49.2
5770,1995,47.08
5770,1996,51.05
5770,1997,54.8
5770,1998,54.01
5770,1999,57.03
5770,2000,56.43
5770,2001,54.68
5770,2002,53.52
5770,2003,57.8
5770,2004,57.91
5770,2005,57.7
5770,2006,61.2
5770,2007,58.51
5770,2008,61.08
5770,2009,67.47
5770,2010,64.46
5770,2011,73.07
5770,2012,74.82
5770,2013,70.36
5770,2014,68.99
5770,2015,77.0
5774,1979,39.97
5774,1980,39.82
5774,1981,42.33
5774,1982,42.96
5774,1983,32.54
5774,1984,46.33
5774,1985,48.09
5774,1986,43.64
5774,1987,41.14
5774,1988,48.53
5774,1989,43.0
5774,1990,47.79
5774,1991,42.0
5774,1992,49.17
5774,1993,48.0
5774,1994,47.5
5774,1995,45.0
5774,1996,49.5
5774,1997,48.0
5774,1998,44.5
5774,1999,45.0
5774,2000,50.0
5774,2001,48.0
5774,2002,46.0
5774,2003,43.0
5774,2004,44.5
5774,2005,45.0
5774,2006,37.0
5774,2007,41.0
5774,2008,39.5
5774,2009,40.0
5774,2010,47.0
5774,2012,69.38
5774,2013,44.19
5774,2014,67.91
5774,2015,55.7
5774,2016,67.53
5913,1979,38.0
5913,1980,40.4
5913,1981,44.6
5913,1982,41.25
5913,1983,37.72
5913,1984,41.13
5913,1985,44.19
5913,1986,47.91
5913,1987,45.7
5913,1988,49.07
5913,1989,49.04
5913,1990,51.27
5913,1991,51.0
5913,1992,59.0
5913,1993,59.0
5913,1994,57.0
5913,1995,59.0
5913,1996,57.0
5913,1997,57.0
5913,1998,52.0
5913,1999,55.2
5913,2000,55.75
5913,2001,52.8
5913,2002,45.75
5913,2003,69.33
5913,2004,62.33
5913,2005,64.5
5913,2006,64.0
5913,2007,57.5
5913,2008,61.5
5913,2009,64.6
5913,2010,62.0
5913,2011,79.0
5913,2012,78.5
5913,2013,75.75
5913,2014,81.0
5913,2015,79.0
5914,1979,32.0
5914,1980,38.0
5914,1983,35.94
5914,1987,37.6
5915,1979,34.95
5915,1980,41.55
5915,1981,50.63
5915,1982,50.5
5915,1983,51.05
5915,1984,47.0
5915,1985,49.5
5915,1986,50.81
5915,1987,46.65
5915,1988,53.91
5915,1989,56.16
5915,1990,55.53
5915,1991,55.4
5915,1992,57.61
5915,1993,52.5
5915,1994,55.1
5915,1995,58.8
5915,1996,57.9
5915,1997,56.3
5915,1998,56.2
5915,1999,61.8
5915,2000,59.17
5915,2001,57.4
5915,2002,56.2
5915,2003,67.17
5915,2004,63.5
5915,2005,63.67
5915,2006,62.54
5915,2007,66.09
5915,2008,68.6
5915,2009,71.33
5915,2010,70.0
5915,2011,72.5
5915,2012,74.9
5915,2013,74.5
5915,2014,77.0
5915,2015,62.1
5954,1979,45.0
5954,1980,44.5
5954,1987,30.67
5954,1990,92.0
5958,1979,40.0
5958,1983,34.94
5958,1985,44.5
5958,1986,50.0
5958,1987,31.1
5958,1989,51.0
5958,1990,12.0
5958,1991,51.0
5958,2007,65.16
5958,2014,82.0
5962,1979,41.0
5962,1980,38.0
5962,1981,50.0
5962,1982,50.0
5962,1983,39.93
5962,1984,35.0
5962,1985,46.5
5962,1986,30.0
5962,1987,45.15
5962,1988,51.5
5962,1989,33.0
5962,1990,51.15
5962,1992,25.0
5962,1993,52.0
5962,1997,55.0
5962,1998,50.0
5962,1999,52.0
5962,2004,55.0
5962,2005,66.5
5962,2006,69.0
5962,2007,68.01
5962,2008,70.0
5962,2009,72.0
5966,1979,41.95
5966,1983,32.03
5966,1987,32.1
5970,1979,44.0
5970,1981,45.5
5970,1983,33.0
5970,1987,35.1
5974,1979,42.55
5974,1980,43.15
5974,1981,48.66
5974,1982,51.99
5974,1983,45.34
5974,1984,48.18
5974,1985,49.05
5974,1986,51.53
5974,1987,47.2
5974,1988,52.06
5974,1989,53.83
5974,1990,54.5
5974,1991,50.8
5974,1992,55.4
5974,1993,59.17
5974,1994,53.31
5974,1995,55.91
5974,1996,58.45
5974,1997,56.71
5974,1998,54.86
5974,1999,63.03
5974,2000,65.07
5974,2001,56.44
5974,2002,57.04
5974,2003,68.67
5974,2004,63.0
5974,2005,65.02
5974,2006,62.91
5974,2007,65.34
5974,2008,69.78
5974,2009,72.73
5974,2010,71.98
5974,2011,79.84
5974,2012,79.14
5974,2013,76.62
5974,2014,81.24
5974,2015,81.33
5974,2016,80.55
5974,2017,91.31
5974,2018,76.73
5974,2019,82.92
5974,2020,86.72
5974,2021,86.45
5978,1979,42.9
5978,1980,39.55
5978,1981,50.15
5978,1982,54.23
5978,1983,48.54
5978,1984,45.76
5978,1985,43.63
5978,1986,46.86
5978,1987,46.93
5978,1988,51.96
5978,1989,54.31
5978,1990,53.72
5978,1991,55.69
5978,1992,56.72
5978,1993,60.03
5978,1994,54.61
5978,1995,55.93
5978,1996,57.74
5978,1997,57.31
5978,1998,56.07
5978,1999,62.58
5978,2000,65.56
5978,2001,58.12
5978,2002,58.39
5978,2003,66.02
5978,2004,64.91
5978,2005,64.55
5978,2006,62.22
5978,2007,64.4
5978,2008,72.69
5978,2009,71.88
5978,2010,82.32
5978,2011,86.14
5978,2012,86.2
5978,2013,78.5
5978,2014,86.5
5978,2015,79.91
5978,2016,75.0
5978,2020,76.5
6411,1979,48.76
6411,1980,49.06
6411,1981,43.69
6411,1982,42.64
6411,1983,34.75
6411,1984,47.92
6411,1985,52.53
6411,1986,47.16
6411,1987,48.9
6411,1988,48.72
6411,1989,55.05
6411,1990,45.87
6411,1991,35.75
6411,1992,41.37
6411,1993,52.05
6411,1994,47.77
6411,1995,48.07
6411,1996,40.03
6411,1997,43.82
6411,1998,54.82
6411,1999,59.97
6411,2000,63.66
6411,2001,54.1
6411,2002,57.51
6411,2003,53.97
6411,2004,62.63
6411,2005,58.71
6411,2006,60.02
6411,2007,60.15
6411,2008,65.53
6411,2009,66.59
6411,2010,67.06
6411,2011,69.76
6411,2012,71.6
6411,2013,67.56
6411,2014,84.18
6411,2015,68.79
6412,1979,50.03
6412,1980,49.51
6412,1981,54.42
6412,1982,51.2
6412,1983,37.87
6412,1984,47.28
6412,1985,51.87
6412,1986,48.33
6412,1987,54.38
6412,1988,50.97
6412,1989,48.51
6412,1990,50.15
6412,1991,45.05
6412,1992,55.21
6412,1993,57.66
6412,1994,54.16
6412,1995,53.76
6412,1996,55.71
6412,1997,52.6
6412,1998,59.12
6412,1999,60.5
6412,2000,69.08
6412,2001,55.72
6412,2002,67.08
6412,2003,54.48
6412,2004,61.14
6412,2005,62.06
6412,2006,69.4
6412,2007,62.5
6412,2008,61.77
6412,2009,67.71
6412,2010,69.93
6412,2011,78.51
6412,2012,76.76
6412,2013,73.78
6412,2014,86.2
6412,2015,69.41
6414,1979,50.97
6414,1980,43.16
6414,1981,60.7
6414,1982,49.06
6414,1983,40.7
6414,1984,46.54
6414,1985,44.35
6414,1986,44.29
6414,1987,49.47
6414,1988,52.54
6414,1989,53.43
6414,1990,54.79
6414,1991,37.15
6414,1992,56.02
6414,1993,58.25
6414,1994,45.68
6414,1995,50.03
6414,1996,57.19
6414,1997,48.21
6414,1998,59.02
6414,1999,60.5
6414,2000,69.08
6414,2001,57.7
6414,2002,57.51
6414,2003,53.97
6414,2004,62.63
6414,2005,59.77
6414,2006,60.02
6414,2007,60.74
6414,2008,63.48
6414,2009,67.66
6414,2010,69.93
6414,2011,78.51
6414,2012,76.76
6414,2013,73.78
6414,2014,86.2
6414,2015,69.41
6414,2021,90.33
6431,1979,54.04
6431,1980,52.68
6431,1981,54.74
6431,1982,54.34
6431,1983,43.66
6431,1984,48.49
6431,1985,55.97
6431,1986,50.09
6431,1987,55.92
6431,1988,57.66
6431,1989,52.46
6431,1990,55.42
6431,1991,55.44
6431,1992,54.26
6431,1993,60.75
6431,1994,55.86
6431,1995,56.12
6431,1996,56.69
6431,1997,49.38
6431,1998,51.21
6431,1999,61.56
6431,2000,68.12
6431,2001,55.0
6431,2002,58.1
6431,2003,48.41
6431,2004,55.87
6431,2005,53.41
6431,2006,57.55
6431,2007,54.77
6431,2008,69.76
6431,2009,69.61
6431,2010,65.54
6431,2011,76.08
6431,2012,70.79
6431,2013,67.93
6431,2014,86.65
6431,2015,72.14
6431,2019,84.83
6432,1979,44.47
6432,1980,45.3
6432,1981,50.3
6432,1982,42.64
6432,1983,42.37
6432,1984,52.69
6432,1985,50.15
6432,1986,51.55
6432,1987,54.79
6432,1988,55.55
6432,1989,55.15
6432,1990,54.79
6432,1991,46.39
6432,1992,52.59
6432,1993,55.78
6432,1994,53.86
6432,1995,55.23
6432,1996,57.58
6432,1997,50.45
6432,1998,59.42
6432,1999,61.14
6432,2000,66.53
6432,2001,55.9
6432,2002,61.71
6432,2003,50.23
6432,2004,66.31
6432,2005,59.04
6432,2006,61.01
6432,2007,63.97
6432,2008,66.12
6432,2009,69.98
6432,2010,65.62
6432,2011,77.0
6432,2012,71.28
6432,2013,67.94
6432,2014,86.65
6432,2015,71.99
6432,2016,81.48
6432,2017,88.3
6432,2018,57.0
6432,2019,81.78
6432,2020,71.79
6432,2021,80.09
6433,1979,49.61
6433,1980,46.07
6433,1981,45.72
6433,1982,46.87
6433,1983,39.14
6433,1984,45.55
6433,1985,50.84
6433,1986,46.74
6433,1987,50.88
6433,1988,48.28
6433,1989,50.32
6433,1990,54.42
6433,1991,44.16
6433,1992,51.14
6433,1993,59.03
6433,1994,50.91
6433,1995,49.35
6433,1996,55.81
6433,1997,45.97
6433,1998,53.21
6433,1999,57.0
6433,2000,66.53
6433,2001,47.34
6433,2002,52.73
6433,2003,49.73
6433,2004,63.73
6433,2005,58.39
6433,2006,56.96
6433,2007,60.05
6433,2008,57.84
6433,2009,70.49
6433,2010,65.52
6433,2011,76.74
6433,2012,71.09
6433,2013,67.91
6433,2014,86.58
6433,2015,72.16
6433,2016,70.21
6433,2017,88.72
6433,2018,70.7
6433,2019,80.37
6433,2020,71.53
6433,2021,83.38
6434,1979,52.01
6434,1980,53.28
6434,1981,57.51
6434,1982,55.38
6434,1983,35.35
6434,1984,47.25
6434,1985,49.39
6434,1986,47.1
6434,1987,50.02
6434,1988,47.59
6434,1989,55.9
6434,1990,50.92
6434,1991,45.72
6434,1992,52.89
6434,1993,60.93
6434,1994,53.38
6434,1995,53.96
6434,1996,55.12
6434,1997,54.16
6434,1998,53.62
6434,1999,63.68
6434,2000,67.91
6434,2001,60.05
6434,2002,66.69
6434,2003,61.96
6434,2004,73.67
6434,2005,63.77
6434,2006,69.1
6434,2007,69.44
6434,2008,68.87
6434,2009,67.09
6434,2010,69.33
6434,2011,74.35
6434,2012,75.41
6434,2013,72.35
6434,2014,87.18
6434,2015,69.06
6434,2017,92.11
6434,2018,61.64
6434,2019,82.43
6434,2020,74.93
6434,2021,92.38
6435,1979,48.17
6435,1980,43.96
6435,1981,48.05
6435,1982,45.98
6435,1983,43.9
6435,1984,48.55
6435,1985,50.21
6435,1986,50.15
6435,1987,51.3
6435,1988,47.84
6435,1989,49.15
6435,1990,49.42
6435,1991,44.38
6435,1992,53.29
6435,1993,60.55
6435,1994,52.54
6435,1995,55.33
6435,1996,48.81
6435,1997,49.97
6435,1998,58.12
6435,1999,61.14
6435,2000,69.08
6435,2001,55.45
6435,2002,66.4
6435,2003,54.58
6435,2004,75.95
6435,2005,65.57
6435,2006,69.2
6435,2007,66.22
6435,2008,65.36
6435,2009,67.73
6435,2010,69.69
6435,2011,77.41
6435,2012,76.05
6435,2013,72.81
6435,2014,85.88
6435,2015,69.34
6435,2016,75.95
6435,2017,86.27
6435,2018,65.02
6435,2019,81.35
6436,1979,57.08
6436,1980,53.15
6436,1981,58.88
6436,1982,61.27
6436,1983,44.85
6436,1984,47.28
6436,1985,55.83
6436,1986,50.1
6436,1987,50.88
6436,1988,53.71
6436,1989,52.04
6436,1990,53.15
6436,1991,46.95
6436,1992,51.7
6436,1993,57.21
6436,1994,54.97
6436,1995,59.84
6436,1996,58.37
6436,1997,51.33
6436,1998,54.52
6436,1999,63.68
6436,2000,69.08
6436,2001,56.35
6436,2002,72.16
6436,2003,50.94
6436,2004,62.63
6436,2005,59.12
6436,2006,60.02
6436,2007,61.42
6436,2008,57.85
6436,2009,67.54
6436,2010,69.87
6436,2011,76.99
6436,2012,76.62
6436,2013,73.62
6436,2014,86.33
6436,2015,69.37
6437,1979,53.51
6437,1980,48.64
6437,1981,58.24
6437,1982,51.89
6437,1983,43.07
6437,1984,49.31
6437,1985,49.86
6437,1986,51.61
6437,1987,50.65
6437,1988,57.01
6437,1989,53.02
6437,1990,48.15
6437,1991,46.4
6437,1992,56.23
6437,1993,53.08
6437,1994,53.72
6437,1995,57.88
6437,1996,59.06
6437,1997,53.58
6437,1998,54.52
6437,1999,63.68
6437,2000,65.89
6437,2001,52.29
6437,2002,56.63
6437,2003,59.53
6437,2004,68.6
6437,2005,64.26
6437,2006,69.1
6437,2007,58.68
6437,2008,65.53
6437,2009,67.13
6437,2010,67.1
6437,2011,69.96
6437,2012,70.63
6437,2013,68.69
6437,2014,88.78
6437,2015,69.63
6438,1979,49.87
6438,1980,45.3
6438,1981,48.05
6438,1982,45.46
6438,1983,45.33
6438,1984,48.28
6438,1985,47.76
6438,1986,48.73
6438,1987,48.88
6438,1988,54.73
6438,1989,51.96
6438,1990,51.12
6438,1991,45.53
6438,1992,53.09
6438,1993,58.25
6438,1994,46.68
6438,1995,50.23
6438,1996,50.38
6438,1997,45.48
6438,1998,53.62
6438,1999,62.62
6438,2000,65.57
6438,2001,56.8
6438,2002,57.51
6438,2003,53.97
6438,2004,62.63
6438,2006,60.02
6438,2007,60.45
6438,2008,66.55
6438,2009,66.59
6438,2010,67.06
6438,2011,73.64
6438,2012,71.6
6438,2013,67.56
6438,2014,84.18
6438,2015,68.79
6439,1979,50.97
6439,1980,43.16
6439,1981,50.74
6439,1982,49.57
6439,1983,45.52
6439,1984,48.48
6439,1985,47.74
6439,1986,48.71
6439,1987,48.91
6439,1988,49.93
6439,1989,48.82
6439,1990,50.62
6439,1991,44.77
6439,1992,51.63
6439,1993,56.55
6439,1994,49.16
6439,1995,49.45
6439,1996,49.6
6439,1997,43.92
6439,1998,53.21
6439,1999,59.44
6439,2000,69.08
6439,2001,59.51
6439,2002,58.59
6439,2003,71.76
6439,2004,69.09
6439,2005,59.77
6439,2006,69.1
6439,2007,58.68
6439,2008,69.62
6439,2009,67.37
6439,2010,66.68
6439,2011,72.73
6439,2012,69.78
6439,2013,68.48
6439,2014,86.06
6439,2015,69.14
6440,1979,52.81
6440,1980,47.91
6440,1981,54.82
6440,1982,53.58
6440,1983,43.64
6440,1984,51.34
6440,1985,50.85
6440,1986,51.6
6440,1987,54.43
6440,1988,50.96
6440,1989,54.84
6440,1990,55.06
6440,1991,50.27
6440,1992,57.32
6440,1993,60.6
6440,1994,54.13
6440,1995,55.63
6440,1996,56.69
6440,1997,51.04
6440,1998,57.12
6440,1999,58.38
6440,2000,62.07
6440,2001,57.07
6440,2002,64.15
6440,2003,47.61
6440,2004,61.34
6440,2005,62.79
6440,2006,61.4
6440,2007,64.26
6440,2008,66.22
6440,2009,67.64
6440,2010,69.92
6440,2011,79.1
6440,2012,76.74
6440,2013,73.76
6440,2014,89.05
6440,2015,71.18
6440,2016,72.12
6440,2017,89.9
6440,2018,65.62
6440,2019,83.38
6440,2020,72.83
6440,2021,93.0
6531,1979,51.8
6531,1980,47.93
6531,1981,54.24
6531,1982,51.27
6531,1983,39.91
6531,1984,50.43
6531,1985,56.33
6531,1986,50.23
6531,1987,53.32
6531,1988,52.33
6531,1989,52.68
6531,1990,53.67
6531,1991,47.74
6531,1992,58.37
6531,1993,58.36
6531,1994,53.25
6531,1995,56.9
6531,1996,57.48
6531,1997,51.53
6531,1998,58.12
6531,1999,60.5
6531,2000,68.66
6531,2001,55.09
6531,2002,64.15
6531,2003,52.96
6531,2004,67.9
6531,2005,61.4
6531,2006,61.01
6531,2007,66.51
6531,2008,67.23
6531,2009,67.01
6531,2010,68.62
6531,2011,74.9
6531,2012,73.5
6531,2013,70.59
6531,2014,85.1
6531,2015,68.75
6531,2017,91.06
6531,2018,64.29
6531,2019,81.57
6531,2020,75.22
6531,2021,86.67
6532,1979,53.3
6532,1980,42.87
6532,1981,50.95
6532,1982,50.09
6532,1983,34.75
6532,1984,40.38
6532,1985,39.91
6532,1986,43.28
6532,1987,43.94
6532,1988,42.54
6532,1989,45.59
6532,1990,46.01
6532,1991,40.67
6532,1992,51.44
6532,1993,53.75
6532,1994,43.7
6532,1995,45.82
6532,1996,45.95
6532,1997,44.99
6532,1998,51.81
6532,1999,62.94
6532,2000,65.79
6532,2001,53.65
6532,2002,57.51
6532,2003,53.97
6532,2004,62.63
6532,2005,59.12
6532,2006,60.02
6532,2007,60.35
6532,2008,57.34
6532,2009,66.89
6532,2010,67.58
6532,2011,71.45
6532,2012,72.01
6532,2013,68.4
6532,2014,87.33
6532,2015,68.49
6533,1979,57.12
6533,1980,53.95
6533,1981,50.74
6533,1982,60.49
6533,1983,43.44
6533,1984,49.25
6533,1985,56.45
6533,1986,49.69
6533,1987,50.38
6533,1988,42.65
6533,1989,49.02
6533,1990,49.68
6533,1991,50.96
6533,1992,57.55
6533,1993,58.27
6533,1994,58.36
6533,1995,53.17
6533,1996,58.47
6533,1997,58.55
6533,1998,55.72
6533,1999,50.95
6533,2000,63.77
6533,2001,47.16
6533,2002,50.77
6533,2003,70.75
6533,2004,62.63
6533,2005,57.0
6533,2006,69.1
6533,2007,58.68
6533,2008,65.32
6533,2009,66.76
6533,2010,67.19
6533,2011,74.71
6533,2012,71.72
6533,2013,67.79
6533,2014,85.05
6533,2015,68.71
6534,1979,48.8
6534,1980,42.87
6534,1981,47.91
6534,1982,56.77
6534,1983,43.81
6534,1984,41.37
6534,1985,51.99
6534,1986,47.04
6534,1987,47.08
6534,1988,55.02
6534,1989,46.89
6534,1990,50.12
6534,1991,46.12
6534,1992,60.04
6534,1993,57.58
6534,1994,52.07
6534,1995,57.78
6534,1996,54.13
6534,1997,52.7
6534,1998,53.52
6534,1999,58.69
6534,2000,69.08
6534,2001,52.29
6534,2002,50.77
6534,2003,63.68
6534,2004,72.08
6534,2005,60.59
6534,2006,65.15
6534,2007,58.68
6534,2008,63.48
6534,2009,66.7
6534,2010,67.55
6534,2011,78.5
6534,2012,71.7
6534,2013,68.73
6534,2014,83.32
6534,2015,70.77
6535,1979,48.89
6535,1980,39.87
6535,1981,46.31
6535,1982,44.87
6535,1983,39.59
6535,1984,38.02
6535,1985,40.88
6535,1986,43.8
6535,1987,43.23
6535,1988,43.54
6535,1989,51.19
6535,1990,44.9
6535,1991,39.64
6535,1992,45.3
6535,1993,57.66
6535,1994,48.6
6535,1995,43.26
6535,1996,47.52
6535,1997,51.04
6535,1998,51.11
6535,1999,53.28
6535,2000,61.96
6535,2001,53.2
6535,2002,54.09
6535,2003,52.56
6535,2004,46.82
6535,2005,56.84
6535,2006,49.65
6535,2007,51.45
6535,2008,60.76
6535,2009,67.4
6535,2010,67.84
6535,2011,75.36
6535,2012,71.45
6535,2013,68.7
6535,2014,83.31
6535,2015,70.52
6535,2017,82.48
6535,2018,63.28
6535,2019,75.02
6535,2021,82.1
6611,1979,44.13
6611,1980,40.14
6611,1981,44.94
6611,1982,50.55
6611,1983,39.27
6611,1984,41.62
6611,1985,40.95
6611,1986,49.14
6611,1987,42.43
6611,1988,43.69
6611,1989,42.94
6611,1990,46.61
6611,1991,42.67
6611,1992,51.73
6611,1993,55.95
6611,1994,49.66
6611,1995,46.5
6611,1996,46.64
6611,1997,45.87
6611,1998,52.31
6611,1999,59.65
6611,2000,63.34
6611,2001,55.0
6611,2002,57.51
6611,2003,53.97
6611,2004,62.63
6611,2005,59.12
6611,2006,60.02
6611,2007,57.71
6611,2008,64.5
6611,2009,66.29
6611,2010,67.92
6611,2011,79.06
6611,2012,71.79
6611,2013,69.75
6611,2014,82.58
6611,2015,72.51
6631,1979,48.86
6631,1980,41.53
6631,1981,44.62
6631,1982,46.84
6631,1983,44.93
6631,1984,39.73
6631,1985,42.37
6631,1986,43.48
6631,1987,41.11
6631,1988,43.18
6631,1989,41.67
6631,1990,40.96
6631,1991,43.46
6631,1992,49.0
6631,1993,57.02
6631,1994,43.27
6631,1995,44.15
6631,1996,41.41
6631,1997,43.33
6631,1998,52.11
6631,1999,50.95
6631,2000,60.58
6631,2001,54.55
6631,2002,57.32
6631,2003,36.39
6631,2004,59.65
6631,2005,50.8
6631,2006,44.42
6631,2007,41.08
6631,2008,63.99
6631,2009,67.52
6631,2010,67.52
6632,1979,41.08
6632,1980,39.36
6632,1981,42.35
6632,1982,43.22
6632,1983,39.09
6632,1984,41.41
6632,1985,41.26
6632,1986,41.78
6632,1987,44.7
6632,1988,39.39
6632,1989,47.37
6632,1990,43.67
6632,1991,38.3
6632,1992,54.61
6632,1993,57.67
6632,1994,46.47
6632,1995,47.09
6632,1996,51.07
6632,1997,47.04
6632,1998,52.21
6632,1999,61.88
6632,2000,63.98
6632,2001,53.92
6632,2002,54.29
6632,2003,49.02
6632,2004,61.04
6632,2005,54.47
6632,2006,53.8
6632,2007,49.88
6632,2008,69.62
6632,2009,67.74
6632,2010,68.41
6632,2011,71.64
6632,2012,72.28
6632,2013,67.71
6632,2014,84.17
6632,2015,68.98
6633,1979,44.13
6633,1980,40.14
6633,1981,44.94
6633,1982,50.55
6633,1983,39.27
6633,1984,41.62
6633,1985,40.95
6633,1986,49.14
6633,1987,42.43
6633,1988,43.36
6633,1989,43.74
6633,1990,47.51
6633,1991,43.55
6633,1992,49.89
6633,1993,53.24
6633,1994,46.09
6633,1995,47.39
6633,1996,46.54
6633,1997,47.72
6633,1998,49.61
6633,1999,59.65
6633,2000,63.55
6633,2001,52.29
6633,2002,50.48
6633,2003,57.51
6633,2004,54.18
6633,2005,59.12
6633,2006,59.13
6633,2007,56.63
6633,2008,66.05
6633,2009,66.18
6633,2010,67.69
6633,2011,77.74
6633,2012,71.56
6633,2013,69.1
6633,2014,85.22
6633,2015,72.55
6633,2016,75.44
6633,2017,86.51
6633,2018,69.18
6633,2019,81.45
6633,2020,81.2
6633,2021,82.29
6634,1979,42.61
6634,1980,41.71
6634,1981,45.43
6634,1982,47.47
6634,1983,39.77
6634,1984,40.74
6634,1985,44.83
6634,1986,44.63
6634,1987,43.24
6634,1988,46.28
6634,1989,47.45
6634,1990,50.4
6634,1991,45.41
6634,1992,51.3
6634,1993,56.68
6634,1994,52.87
6634,1995,54.06
6634,1996,50.68
6634,1997,49.97
6634,1998,53.01
6634,1999,61.77
6634,2000,64.72
6634,2001,53.47
6634,2002,57.22
6634,2003,59.63
6634,2004,67.4
6634,2005,62.06
6634,2006,61.2
6634,2007,62.01
6634,2008,60.38
6634,2009,66.6
6634,2010,67.93
6634,2011,80.58
6634,2012,71.81
6634,2013,69.64
6634,2014,82.67
6634,2015,72.32
6634,2016,75.06
6634,2017,89.15
6634,2018,66.84
6634,2019,78.98
6634,2020,79.7
6634,2021,81.63
6635,1979,44.77
6635,1980,40.92
6635,1981,57.19
6635,1982,48.85
6635,1983,41.3
6635,1984,47.17
6635,1985,45.43
6635,1986,43.72
6635,1987,42.68
6635,1988,43.94
6635,1989,44.83
6635,1990,48.05
6635,1991,47.49
6635,1992,58.24
6635,1993,60.86
6635,1994,46.74
6635,1995,47.09
6635,1996,58.67
6635,1997,53.67
6635,1998,49.91
6635,1999,59.65
6635,2000,62.39
6635,2001,52.84
6635,2002,49.99
6635,2003,52.15
6635,2004,57.66
6635,2005,59.12
6635,2006,60.02
6635,2007,56.73
6635,2008,63.89
6635,2009,66.77
6635,2010,67.16
6635,2011,76.22
6635,2012,71.52
6635,2013,67.65
6635,2014,84.69
6635,2015,69.54
6636,1979,41.54
6636,1980,42.01
6636,1981,49.56
6636,1982,48.01
6636,1983,37.82
6636,1984,39.22
6636,1985,47.9
6636,1986,48.28
6636,1987,44.77
6636,1988,39.53
6636,1989,45.98
6636,1990,47.23
6636,1991,47.27
6636,1992,53.88
6636,1993,57.36
6636,1994,53.09
6636,1995,44.15
6636,1996,50.98
6636,1997,49.28
6636,1998,52.21
6636,1999,54.24
6636,2000,63.34
6636,2001,54.55
6636,2002,49.41
6636,2003,56.2
6636,2004,55.77
6636,2005,57.9
6636,2006,54.0
6636,2007,59.47
6636,2008,57.79
6636,2009,66.75
6636,2010,66.28
6636,2011,70.63
6636,2012,70.87
6636,2013,66.27
6636,2014,84.4
6636,2015,68.15
6636,2016,64.87
6636,2017,77.01
6636,2018,45.56
6636,2019,74.28
6636,2020,68.96
6636,2021,77.11
7111,1979,47.7
7111,1980,47.05
7111,1981,55.5
7111,1982,52.7
7111,1983,42.5
7111,1984,49.8
7111,1985,50.16
7111,1986,49.5
7111,1987,51.0
7111,1988,50.5
7111,1989,54.0
7111,1990,50.1
7111,1992,52.0
7111,2018,63.5
7131,1979,45.68
7131,1980,44.87
7131,1981,59.74
7131,1982,50.86
7131,1983,34.8
7131,1984,47.45
7131,1985,50.85
7131,1986,51.5
7131,1987,50.0
7131,1988,50.0
7131,1989,54.67
7131,1990,51.33
7131,1991,48.5
7131,1992,53.6
7131,1993,55.2
7131,1994,50.26
7131,1995,53.17
7131,1996,51.33
7131,1997,52.5
7131,1998,53.63
7131,1999,52.83
7131,2000,65.5
7131,2003,46.0
7131,2005,53.55
7131,2017,87.47
7132,1981,53.06
7132,1982,50.59
7133,1979,48.07
7133,1980,48.47
7133,1981,56.47
7133,1982,51.52
7133,1983,40.3
7133,1984,47.53
7133,1985,47.44
7133,1986,49.09
7133,1987,50.69
7133,1988,51.3
7133,1989,56.86
7133,1990,51.79
7133,1991,42.51
7133,1992,54.91
7133,1993,52.17
7133,1994,48.86
7133,1995,51.63
7133,1996,51.45
7133,1997,51.3
7133,1998,52.98
7133,1999,56.64
7133,2000,69.61
7133,2001,55.5
7133,2002,61.67
7133,2003,40.61
7133,2004,59.2
7133,2005,57.32
7133,2006,56.43
7133,2007,61.55
