district_no,year,yield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_lag1,pflanzenschutzmittel_lag1,saat_und_pflanzgut_lag1,energie_und_schmierstoffe_lag1,winter_temp_anomaly,winter_precip_anomaly
03101,2021,77.36,202.65668,17.343088,0,13596580.0,79.36886014887196,46.774093627551125,100.0,100.0,100.0,100.025,100.025,100.0,-0.27507956634781294,-0.028708303634024546
03102,2018,65.23,105.225,19.07748,12,17267506.0,117.4934737513266,52.202526218022896,93.1,96.7,94.2,99.3,96.425,101.7,-0.9348542254150516,0.03268163919027467
03102,2019,77.05,151.57999,17.950722,9,15232918.0,117.4934737513266,52.202526218022896,102.7,95.4,96.925,99.125,98.025,109.125,0.40777198676568105,-0.08721099228743678
03102,2020,80.29,193.005,17.837185,5,15149956.0,117.4934737513266,52.202526218022896,101.9,90.0,102.65,99.1,100.5,110.55,0.8821092325758286,0.10667211579597269
03102,2021,90.78,230.805,17.297213,0,13714271.0,117.4934737513266,52.202526218022896,100.0,100.0,100.0,100.025,100.025,100.0,-0.23949625692017662,-0.02158494427127222
03103,2018,44.63,93.85,19.218538,12,17042336.0,82.63539670359086,43.88645822268728,93.1,96.7,94.2,99.3,96.425,101.7,-0.8879672523950717,0.05113051989060713
03103,2020,74.78,180.39,17.909199,5,15027343.0,82.63539670359086,43.88645822268728,102.7,95.4,96.925,99.125,98.025,109.125,0.8539458317662252,0.12526427018398678
03151,2018,75.15,98.215004,19.136011,12,16880180.0,73.6892495743334,42.563852771214265,93.1,96.7,94.2,99.3,96.425,101.7,-0.8918865008382113,0.06855000482547835
03151,2019,74.67,167.38182,17.967564,9,14868786.0,73.6892495743334,42.563852771214265,102.7,95.4,96.925,99.125,98.025,109.125,0.5560156627911965,-0.23834953335736886
03151,2020,77.81,185.77637,17.794249,6,14820814.0,73.6892495743334,42.563852771214265,101.9,90.0,102.65,99.1,100.5,110.55,0.8490759067810245,0.1684845875599461
03151,2021,80.22,194.92955,17.436302,0,13361773.0,73.6892495743334,42.563852771214265,100.0,100.0,100.0,100.025,100.025,100.0,-0.3182980721365425,-0.04279718965290735
