district_no,kreisYield,kreisField_ha,producer_price_index,precip_total_peak_growth,heat_stress_days_peak_growth,avg_elevation,winter_temp_anomaly,winter_precip_anomaly,yield_density
01051,75.65,800.7906419226468,96.7,340.12796,0.0,4.312761096339693,-2.0377779080836262,-0.6451824171008316,0.0944691358079561
01051,67.25,924.7366867689632,95.4,127.0535,3.0,4.312761096339693,-0.8317112027743292,0.11440881640232892,0.07272340428305986
01051,86.17,959.9735833697328,90.0,257.27298,3.0,4.312761096339693,0.5469795237405037,-0.15788407796323878,0.08976288660752536
01051,81.5,996.6032596385828,100.0,191.58801,3.0,4.312761096339693,0.8265473059314559,0.2245780109863602,0.08177777779673139
01051,89.82,975.7279478383186,105.1,252.6615,0.0,4.312761096339693,-0.22307363761859733,-0.04110241584861296,0.09205434784043832
01053,79.43,840.8037103491849,96.7,303.2144,0.0,40.00613405135157,-2.0317323082772987,-0.5950921119817882,0.09446913581357018
01053,64.67,889.2597997523993,95.4,96.13779,10.0,40.00613405135157,-1.0518797291827013,0.11341886211115848,0.07272340427992242
01053,88.08,981.2518651874906,90.0,206.53331,3.0,40.00613405135157,0.6142684273555687,-0.23070023090503478,0.089762886609553
01053,75.49,923.1114119032712,100.0,172.70499,4.0,40.00613405135157,0.9062581621238905,0.23272200433819257,0.08177777779019861
01053,81.98,890.5608680002824,105.1,209.7589,0.0,40.00613405135157,-0.23469958681209846,0.016818999675501933,0.09205434783141589
01054,70.93,975.3393783274732,95.4,168.00699,1.0,3.878989444346276,-0.5774477418596575,0.07008042157134953,0.07272340428713997
01054,99.18,1104.910989887549,90.0,290.61267,0.0,3.878989444346276,0.5637052220055807,-0.16599835372372296,0.08976288661979101
01054,88.57,1083.057063879623,100.0,213.30498,0.0,3.878989444346276,0.8462970532150962,0.3166587552747049,0.08177777780328144
01054,93.31,1013.640334143771,105.1,256.65134,0.0,3.878989444346276,-0.12391997538520627,-0.09085921103293748,0.09205434784396702
01058,74.04,783.7480387039361,96.7,305.47137,0.0,18.6739993731766,-1.8889168666712521,-0.606041029750531,0.09446913580539086
01058,74.42,1023.3294309196468,95.4,118.95138,5.0,18.6739993731766,-0.9526663309852665,0.11035601205705836,0.07272340429063665
01058,83.81,933.6820937938644,90.0,234.00311,2.0,18.6739993731766,0.5754004511302355,-0.20980711549782038,0.08976288660489236
01058,81.04,990.9782596455308,100.0,171.45691,0.0,18.6739993731766,0.8589180454562779,0.2691202419517791,0.08177777779626562
01058,81.67,887.1932921393397,105.1,236.9962,0.0,18.6739993731766,-0.1876093481961334,-0.04872323646982524,0.09205434783102352
01059,74.21,785.5475682363465,96.7,347.24734,0.0,21.813499268367053,-1.8428289531838118,-0.6004287543159652,0.09446913580566697
01059,76.15,1047.1181962447072,95.4,133.82068,2.0,21.813499268367053,-0.8981082599816546,0.06594759887482526,0.07272340429225112
01059,83.37,928.780290652601,90.0,262.75266,0.0,21.813499268367053,0.591950564851345,-0.18752330887670532,0.08976288660438494
01059,83.2,1017.3913030911668,100.0,180.57063,0.0,21.813499268367053,0.8812571328820127,0.3133632143770264,0.08177777779840802
01059,81.92,889.9090791239709,105.1,240.12599,0.0,21.813499268367053,-0.23799343645424642,-0.10419780213917063,0.09205434783134019
01060,78.3,828.8421316925742,96.7,286.70526,0.0,34.30699266787498,-1.9629420279341048,-0.6099982816427789,0.0944691358119487
01060,57.12,785.4417776690436,95.4,103.40789,9.0,34.30699266787498,-0.9943169632297781,0.11316764578519733,0.07272340426911295
01060,87.71,977.1298943641552,90.0,222.24788,3.0,34.30699266787498,0.5846732274106898,-0.2095070254176763,0.08976288660916712
01060,76.03,929.7146727646804,100.0,167.74579,5.0,34.30699266787498,0.8637316477198169,0.2227336157613422,0.08177777779082782
01060,82.84,899.903175227414,105.1,230.36739,0.0,34.30699266787498,-0.1831745191136065,0.005694494987522392,0.09205434783248899
01061,72.7,769.5635118014068,96.7,316.46848,0.0,8.498057820216552,-2.002286422033478,-0.6262617936839647,0.09446913580316915
01061,65.86,905.6231701205044,95.4,111.71308,7.0,8.498057820216552,-0.9180877457518477,0.10616714775063496,0.07272340428140008
01061,82.63,920.5363490059304,90.0,231.1923,3.0,8.498057820216552,0.552806092422145,-0.19352230163686746,0.08976288660351942
01061,79.2,968.4782596733224,100.0,176.44615,7.0,8.498057820216552,0.8250167117805063,0.2509128548249404,0.08177777779434842
01061,76.46,830.5962913796242,105.1,244.44383,0.0,8.498057820216552,-0.19239714305217603,-0.021035057627324383,0.09205434782395337
03101,76.84,9542.222210672691,96.7,320.5467,0.0,79.36886014887196,-2.1992644300897837,-0.5564841985990636,0.008052631587850063
03101,69.5,10320.695087863429,95.4,98.136665,12.0,79.36886014887196,-0.8931036569464936,0.05482218531959315,0.006734042562210189
03101,72.34,10084.88066592304,90.0,144.08665,9.0,79.36886014887196,0.46994479254766475,-0.17701913204615272,0.007173114128882537
03101,72.26,9064.449205325356,100.0,179.58334,5.0,79.36886014887196,0.8401645253395031,0.1321124189271241,0.007971802627519332
03101,77.36,9250.595430959818,105.1,202.65668,0.0,79.36886014887196,-0.27507956634781294,-0.028708303634024546,0.00836270492737467
03102,89.36,11096.993450620925,96.7,343.9,0.0,117.4934737513266,-2.252738344259228,-0.5596397230611607,0.008052631587968297
03102,65.23,9686.603461601891,95.4,105.225,12.0,117.4934737513266,-0.9348542254150516,0.03268163919027467,0.0067340425621674775
03102,77.05,10741.499243978024,90.0,151.57999,9.0,117.4934737513266,0.40777198676568105,-0.08721099228743678,0.007173114128926016
03102,80.29,10071.749608297436,100.0,193.005,5.0,117.4934737513266,0.8821092325758286,0.10667211579597269,0.00797180262760729
03102,90.78,10855.339364303676,105.1,230.805,0.0,117.4934737513266,-0.23949625692017662,-0.02158494427127222,0.008362704927508312
03103,78.2,9711.111099357164,96.7,309.64,0.0,82.63539670359086,-2.2131785126464933,-0.5487274173459287,0.008052631587864739
03103,44.63,6627.519737717192,95.4,93.85,12.0,82.63539670359086,-0.8879672523950717,0.05113051989060713,0.006734042561846596
03103,74.78,9380.56340401647,100.0,180.39,5.0,82.63539670359086,0.8539458317662252,0.12526427018398678,0.00797180262754897
03151,80.12,9949.542471617597,96.7,321.3604,0.0,73.6892495743334,-2.212041070432292,-0.5501864498861178,0.00805263158788461
03151,75.15,11159.715623783262,95.4,98.215004,12.0,73.6892495743334,-0.8918865008382113,0.06855000482547835,0.006734042562259244
03151,74.67,10409.704718336652,90.0,167.38182,9.0,73.6892495743334,0.5560156627911965,-0.23834953335736886,0.007173114128904731
03151,77.81,9760.653095299833,100.0,185.77637,6.0,73.6892495743334,0.8490759067810245,0.1684845875599461,0.007971802627582063
03151,80.22,9592.590039705232,105.1,194.92955,0.0,73.6892495743334,-0.3182980721365425,-0.04279718965290735,0.0083627049274069
03153,85.69,10641.24181718562,96.7,355.635,0.0,387.65537837221,-2.306756550096793,-0.5604228239633531,0.008052631587937217
03153,63.27,9395.545010203154,95.4,110.627495,2.0,387.65537837221,-1.0293879814171305,0.02776396397372527,0.006734042562145941
03153,79.57,11092.81109465712,90.0,167.03334,2.0,387.65537837221,0.3861362491784348,-0.052630111950916936,0.007173114128947168
03153,79.79,10009.028537128564,100.0,207.82501,2.0,387.65537837221,0.9464367968968759,0.09391995519615048,0.007971802627602331
