year,district_no,mild_winter_days,fungal_risk_days,VegetationVigorIndex,RootZoneDepletion
2001,05362,27,9,0.084456252858972,0.09619284927412933
2002,05362,39,12,-0.08570216675638301,0.0512229609013781
2003,05362,20,2,-0.048518201343214995,0.08264366093986862
2004,05362,28,5,-0.0818908687791641,0.0939855248464545
2005,05362,26,4,-0.0233670505504245,0.09597128994044432
2006,05362,17,0,-0.008076781028281,0.14550949093521326
2007,05362,50,17,0.1152531401060466,0.0567518690349947
2008,05362,43,9,-0.0803174366123466,0.08153997046903962
2009,05362,22,0,-0.0784362300686149,0.09126169385674228
2010,05362,15,5,-0.1414555491958233,0.11593981493597531
2011,05362,32,7,-0.1262747392272087,0.06737705484560688
2012,05362,34,5,-0.07992839243280819,0.0952402291420026
2013,05362,19,2,-0.0967678605586568,0.057078443288443775
2014,05362,50,9,0.1364857973999437,0.05938933797909408
2015,05362,30,4,0.1197850730865084,0.08435292106898694
2016,05362,40,9,0.12136497128465071,0.04993824298413805
2017,05362,29,6,0.0192023135271255,0.08533555313202917
2018,05362,35,4,0.19673069322537579,0.08022541749238545
2019,05362,38,1,0.1212031803819628,0.0820631141370168
2020,05362,48,18,0.1208523796601877,0.07478732978785575
2021,05362,36,8,0.1159905734638761,0.039733583872688896
2022,05362,44,8,0.1447790819227869,0.08865561399377239
2023,05362,39,14,0.0969526527021814,0.1482118383685392
2024,05362,43,19,0.020069166933309,0.05623022756235209
1981,05366,5,0,,
1982,05366,18,0,,
1983,05366,18,0,,
1984,05366,7,0,,
1985,05366,5,0,,
1986,05366,8,0,,
1987,05366,5,0,,
1988,05366,28,0,,
1989,05366,26,2,,0.0041178953436898395
1990,05366,37,3,,0.0027214549987005054
1991,05366,16,1,,0.005611514828427934
1992,05366,22,0,,0.005657948710694936
1993,05366,20,1,,0.013583265417006248
1994,05366,25,0,,0.00325463622930865
1995,05366,28,1,,0.0028815205207483887
1996,05366,12,0,,0.02665387280771896
1997,05366,21,2,,0.01162756896601843
1998,05366,33,0,,0.09305374841045654
1999,05366,27,1,,0.00680174940994824
2000,05366,26,0,,0.05324606488146655
2001,05366,18,2,0.11210552275246741,0.0068011017784881155
2002,05366,30,3,-0.0671959337100107,0.002848089999643989
2003,05366,11,0,-0.0782661901080877,0.0060953309764720225
2004,05366,20,1,-0.0475283256731327,0.07523352656490985
2005,05366,19,0,-0.0295018952271545,0.004763401831051664
2006,05366,7,0,-0.0315059878302491,0.048863273425392637
2007,05366,45,3,0.1346064572672547,0.0030029624224297276
2008,05366,35,0,-0.0904216877701452,0.008050119429590018
2009,05366,12,0,-0.07090632333160231,0.0074451293963489085
2010,05366,13,0,-0.1687947221587732,0.022886437497139193
2011,05366,22,0,-0.11109937057998831,0.01658899759827136
2012,05366,21,1,-0.1304018054903592,0.009534160898499323
2013,05366,14,1,-0.1251299346089653,0.012051968086388507
2014,05366,42,0,0.1604023082471262,0.004707705531723462
2015,05366,11,2,0.1131149144259031,0.0072691587766005785
2016,05366,31,0,0.12076231187402942,0.003517522538525666
2017,05366,17,0,0.013826235567880901,0.005541332801365385
2018,05366,20,0,0.18838885662542199,0.007326195177165715
2019,05366,26,2,0.10215909562903061,0.0065230933813433005
2020,05366,42,2,0.124315608933173,0.021607265210817433
2021,05366,20,0,0.1184620911829594,0.004497211728728188
2022,05366,24,1,0.1488663907210071,0.01262694492378487
2023,05366,33,3,0.11201874575622979,0.05207310786313166
2024,05366,38,3,0.0641136375059848,0.02496943984170627
1981,05370,18,0,,
1982,05370,23,1,,
1983,05370,32,5,,
1984,05370,32,1,,
1985,05370,10,1,,
1986,05370,12,1,,
1987,05370,14,0,,
1988,05370,51,4,,
1989,05370,43,3,,0.05502192200040147
1990,05370,51,8,,0.03131580455695897
1991,05370,21,4,,0.08554411164019092
1992,05370,35,6,,0.18575859630215877
1993,05370,28,7,,0.06526295828990436
1994,05370,35,5,,0.0033787451711735712
1995,05370,41,12,,0.07133238505558114
1996,05370,20,1,,0.7849142214305803
1997,05370,31,7,,0.05489606027160613
1998,05370,40,4,,0.07783980227229222
1999,05370,38,4,,0.045998926591470354
2000,05370,43,5,,0.11429826128579905
2001,05370,33,7,0.1106189001365025,0.09816815391389938
2002,05370,42,12,-0.0878843713702579,0.04128963667232598
2003,05370,23,2,-0.027595239724902,0.08488691675408071
2004,05370,31,5,-0.0971668955535109,0.07525481737945909
2005,05370,28,4,-0.013891266303410903,0.07967226276587741
2006,05370,18,0,-0.012159946478582498,0.1067258090095533
2007,05370,50,16,0.1089558889615338,0.046846285143428
2008,05370,47,8,-0.07009165012404639,0.07416779434676163
2009,05370,24,0,-0.0395387730203388,0.06656094948342524
2010,05370,20,5,-0.10811628992907399,0.08265794054026862
2011,05370,34,7,-0.1360420074956895,0.05439551247531861
2012,05370,33,4,-0.0782847506300036,0.06968957953597578
2013,05370,21,2,-0.0599617827116761,0.03615231025936741
2014,05370,51,8,0.1428115796426164,0.0648128350584756
2015,05370,31,4,0.11440053879731549,0.06813069620253163
2016,05370,40,9,0.11719536742551862,0.03900517689386368
2017,05370,29,5,0.018067816033085,0.07641951981050818
2018,05370,36,2,0.15777527213467818,0.06615467240713142
2019,05370,40,1,0.1256284972518992,0.06921460500558758
2020,05370,48,15,0.1311243510649275,0.059401164444805726
2021,05370,38,6,0.08277683236406161,0.030611060624468472
2022,05370,45,7,0.1517934005547512,0.06795131860844726
2023,05370,38,12,0.07415348904788409,0.11729595707721618
2024,05370,43,20,-0.0421789600732823,0.045861469996584046
1983,05374,16,2,,
1981,05378,11,0,,
1983,05378,25,3,,
1984,05378,25,1,,
1986,05378,10,0,,
1987,05378,11,0,,
1988,05378,40,2,,
1989,05378,36,3,,0.040131482136433576
1990,05378,43,7,,0.010330061015144292
1991,05378,19,3,,0.04570456031591015
1993,05378,23,8,,0.029145060361454388
1995,05378,36,9,,0.03972321969335821
1996,05378,15,0,,0.9765470216108351
1998,05378,37,4,,0.0474875403523426
1999,05378,35,2,,0.0284271520886222
2000,05378,33,2,,0.07174726192154511
1981,05382,13,0,,
1982,05382,20,1,,
1983,05382,30,5,,
1984,05382,31,1,,
1985,05382,11,1,,
1986,05382,12,1,,
1987,05382,13,0,,
1988,05382,48,3,,
1989,05382,37,4,,0.044024700762464994
1990,05382,47,9,,0.023755578516178762
1991,05382,20,3,,0.061163607348591
1992,05382,35,3,,0.14549720534011443
1993,05382,24,9,,0.04445246446174726
1994,05382,35,4,,0.011798139031732095
1995,05382,39,13,,0.04917940708657007
1996,05382,16,0,,0.9189204489166277
1997,05382,29,7,,0.03636511586846171
1998,05382,38,5,,0.07592075574782839
1999,05382,37,3,,0.033559918070620816
2000,05382,38,3,,0.06995032689528777
2001,05382,27,10,0.1149960182421915,0.060412411628052984
2002,05382,38,13,-0.0584331679748551,0.03617875803408691
2003,05382,18,2,-0.0633113638103463,0.06531616913149188
2004,05382,27,7,-0.0673129671362632,0.06976070698449874
2005,05382,25,3,0.0122293248482877,0.07509335958855569
2006,05382,15,0,0.020920132921587203,0.08856665341699556
2007,05382,50,19,0.1367394958563671,0.038396569479850755
2008,05382,42,7,-0.07948212911591121,0.05895321370309951
2009,05382,20,0,-0.0726860239795807,0.05078100429226417
2010,05382,16,5,-0.1484012053317964,0.08016315900141453
2011,05382,33,6,-0.1454920536850895,0.05501790999120559
2012,05382,30,4,-0.09546641599947339,0.04978285702143935
2013,05382,22,2,-0.08496797186369609,0.04616402430098082
2014,05382,53,7,0.11332781024513991,0.049272188191590266
2015,05382,31,4,0.1059328940396048,0.06152386415312746
2016,05382,40,10,0.09778045437078492,0.03728308377591228
2017,05382,30,6,0.027802426494991598,0.06358856245795022
2018,05382,35,3,0.1982948877601671,0.051219853594870156
2019,05382,39,1,0.1041501130940342,0.06495169799735499
2020,05382,49,16,0.1234490028362268,0.05945607261644859
2021,05382,36,4,0.102413309977167,0.03472101237304457
2022,05382,46,7,0.1094662621505075,0.094924492880736
2023,05382,38,14,0.0913900230192179,0.11661381354763735
1981,05515,15,0,,
1982,05515,18,0,,
1983,05515,28,4,,
1984,05515,27,0,,
1985,05515,6,1,,
1986,05515,13,0,,
1987,05515,10,0,,
1988,05515,46,3,,
1989,05515,37,3,,0.07288071952936444
1990,05515,47,8,,0.02384767270288397
1991,05515,18,3,,0.07927663427550177
1992,05515,34,1,,0.2107035881197765
1993,05515,26,8,,0.04905754532976955
1994,05515,32,3,,0.010704255208920611
1995,05515,38,8,,0.05472895275107384
1996,05515,14,0,,0.6400689406349949
1997,05515,27,5,,0.03915712325692363
1998,05515,41,4,,0.10190645228215768
1999,05515,35,2,,0.04016203366599563
2000,05515,37,3,,0.07317262191802132
2001,05515,27,6,0.18424079081549471,0.05079774531422271
2002,05515,39,12,-0.0274299666584251,0.05333622291829809
2004,05515,29,7,-0.1862571897709015,0.0860969861308677
2005,05515,26,2,0.0314025930355918,0.10824045039744346
2006,05515,13,0,-0.008088775187844198,0.10551340289218379
2007,05515,47,14,0.050976893401991,0.04830929272453092
2008,05515,40,8,-0.0556189194684326,0.07862652719665272
2009,05515,19,0,-0.005882732628107498,0.11461006158319448
2011,05515,29,4,-0.07636087975683839,0.07108124079420257
2012,05515,27,2,-0.0183255623899715,0.04821782266769468
1981,05554,17,0,,
1982,05554,22,2,,
1983,05554,32,5,,
1984,05554,28,0,,
1985,05554,8,1,,
1986,05554,13,0,,
1987,05554,10,0,,
1988,05554,51,3,,
1989,05554,42,3,,0.05812697448848282
1990,05554,49,7,,0.015239653666855547
1991,05554,19,3,,0.06555877844593798
1992,05554,36,1,,0.183255221270592
1993,05554,27,8,,0.06565743800793998
1994,05554,37,4,,0.02139618344105879
1995,05554,41,11,,0.0422892996069737
1996,05554,15,0,,0.4382359028635268
1997,05554,30,6,,0.03248686145618628
1998,05554,42,4,,0.0975697036634269
1999,05554,36,2,,0.03683296973291254
2000,05554,41,3,,0.08611956218096858
2001,05554,27,7,0.12081538530564931,0.03892171434362885
2002,05554,44,13,0.008728211734175192,0.04134067507916707
2003,05554,20,0,-0.0463468663167695,0.08077882809887595
2004,05554,32,6,-0.1063396541515898,0.0671477377680044
2005,05554,28,1,-0.0057931221962316,0.06553521781219748
2006,05554,15,0,-0.0030533470565582976,0.09637894912365212
2007,05554,49,16,0.0972906057937535,0.05703784631710074
2008,05554,45,9,-0.050559606774994596,0.06588561017259255
2009,05554,23,0,-0.010207552170195299,0.09504515507377297
2010,05554,14,3,-0.2716368004848063,0.08044267016940365
2011,05554,32,4,-0.06954875295709509,0.05953681397913308
2012,05554,34,2,-0.0539171838449355,0.03796057508939213
2013,05554,21,3,-0.17490529258613668,0.04140215107553777
2014,05554,50,7,0.09102092673618059,0.04749376609994849
2015,05554,30,2,0.09024493624159691,0.06099965588055726
2016,05554,38,8,0.1323211537754796,0.0249784752700488
2017,05554,27,5,0.0784836294811692,0.056468662331038005
2018,05554,32,3,0.1460279569407309,0.04675804088071468
2019,05554,38,0,0.1865080334044312,0.04585949913338757
2020,05554,52,18,0.1126249812475384,0.05235866434695118
2021,05554,34,3,0.1712632356205751,0.0236579746548993
2022,05554,47,8,0.12278051031415552,0.06784739327217125
2023,05554,38,12,0.1141960026210169,0.10546817825609948
2024,05554,42,18,-0.13024039067713938,0.03406617273362557
1981,05558,13,0,,
1982,05558,18,0,,
1983,05558,30,5,,
1984,05558,26,0,,
1985,05558,5,0,,
1986,05558,10,0,,
1987,05558,10,0,,
1988,05558,47,3,,
1989,05558,36,3,,0.07994986173909795
1990,05558,46,7,,0.02289113970879687
1991,05558,18,3,,0.07617363878171095
1992,05558,32,1,,0.24047049853372432
1993,05558,25,7,,0.06877635084855614
1994,05558,31,3,,0.009438656506621292
1995,05558,37,8,,0.07007151057186008
1996,05558,14,0,,0.9101431828811973
1997,05558,24,5,,0.058241054323548924
1998,05558,40,4,,0.09722738607791136
1999,05558,34,2,,0.03841404500350594
2000,05558,36,3,,0.09636361779275827
2001,05558,25,6,0.1828443947731682,0.04598172323759791
2002,05558,38,13,-0.0006143870512436977,0.048456708797397066
2003,05558,16,0,-0.0485019129463672,0.08966743512155093
2004,05558,28,7,-0.1262535557353775,0.09255521866625045
2005,05558,25,1,0.0224077210632848,0.10070664267306496
2006,05558,11,0,-0.0331005290762465,0.17123541193424688
2007,05558,47,13,0.0896700054651234,0.04715504315250379
2009,05558,20,0,-0.008199118062039098,0.13640357254387608
2012,05558,28,2,-0.0312716966136531,0.058158530787805605
2013,05558,18,3,-0.1758787898899951,0.04396133636411693
2014,05558,46,5,0.14565879607529408,0.05762287605834411
2015,05558,28,2,0.0945284252211509,0.06868324144914492
1981,05562,15,0,,
1982,05562,19,2,,
1983,05562,31,4,,
1984,05562,27,1,,
1985,05562,8,1,,
1986,05562,13,1,,
1987,05562,11,0,,
1988,05562,50,3,,
1989,05562,38,3,,0.08007990517546969
1990,05562,48,9,,0.028174654712238602
1991,05562,18,5,,0.08111453834036282
1992,05562,35,2,,0.2605140296192362
1993,05562,24,9,,0.07094017805413433
1994,05562,33,4,,0.017822684150481768
1995,05562,40,11,,0.07193764625772048
1996,05562,15,0,,0.7016022609715779
1997,05562,28,5,,0.059312027506086364
1998,05562,41,4,,0.10162762842606271
1999,05562,37,3,,0.04041664834046019
2000,05562,38,3,,0.10236101560051117
2001,05562,27,6,0.1759723148705659,0.05166310490085277
2002,05562,39,13,-0.0030186088756211024,0.05445585824916669
2003,05562,19,2,-0.045508432698472295,0.09251769575281803
2004,05562,30,7,-0.10776335397684621,0.0953341899344556
2005,05562,26,3,0.0173789612937677,0.11750210902812037
2006,05562,13,0,0.0218000524136275,0.10816528340450382
2007,05562,48,16,0.0685779407703925,0.05576822999147278
1981,05566,19,1,,
1982,05566,19,0,,
1983,05566,33,5,,
1984,05566,27,0,,
1985,05566,6,1,,
1986,05566,12,0,,
1987,05566,10,0,,
1988,05566,48,3,,
1989,05566,38,2,,0.06210086836810335
1990,05566,49,7,,0.01597520018724529
1991,05566,20,3,,0.06790737094620589
1992,05566,34,1,,0.19779866205140162
1993,05566,28,8,,0.04365450136628837
1994,05566,33,3,,0.00216459586995108
1995,05566,36,9,,0.047552709833115187
1996,05566,14,0,,0.5212383528143911
1997,05566,30,5,,0.03282308877096563
1998,05566,43,4,,0.10261061798381382
1999,05566,34,2,,0.03611768393684608
2000,05566,39,3,,0.08995070669945682
2001,05566,28,5,0.1698077135332648,0.06788422825668221
2002,05566,38,13,-0.0221956069309312,0.04438930150535436
2003,05566,16,0,-0.010522706570916997,0.08621943249058633
2004,05566,31,7,-0.1499857755368275,0.07222536196704457
2005,05566,26,1,0.021222229801999,0.10705978513569732
2006,05566,14,0,-0.0302912623596683,0.16365386929382567
2007,05566,46,13,0.0760978020389665,0.04588958523526364
2008,05566,43,8,-0.0565961733774664,0.07133148489080751
2009,05566,21,0,-0.0208705684727549,0.14651842964186115
2010,05566,13,2,-0.21923775004741272,0.09265603226276661
2011,05566,29,4,-0.093484938152219,0.06829571415085434
2012,05566,30,3,-0.0012810735810072985,0.06820167785316476
2013,05566,21,2,-0.1543766897890585,0.03347719078822154
2014,05566,46,7,0.1322963639446448,0.05219224440894569
2015,05566,31,2,0.0993527293255402,0.060559728199320505
2016,05566,36,6,0.1062465256462636,0.029847919890970406
2017,05566,26,4,0.0590385642510223,0.06336374338444836
2019,05566,33,2,0.2060759300933892,0.052310407872274596
2023,05566,36,12,0.1142217747300781,0.0899342463446805
1981,05570,16,0,,
1982,05570,20,1,,
1983,05570,29,4,,
1984,05570,26,0,,
1985,05570,7,0,,
1986,05570,13,0,,
1987,05570,10,0,,
1988,05570,48,3,,
1989,05570,38,3,,0.07690192361728491
1990,05570,48,9,,0.02066770417872318
1991,05570,19,2,,0.07395835806331547
1992,05570,33,2,,0.22131641483182918
1993,05570,26,8,,0.0547421804091848
1994,05570,32,3,,0.0027616108476074095
1995,05570,39,7,,0.059892760474998634
1996,05570,13,0,,0.5543426566592393
1997,05570,30,5,,0.04371931816856
1998,05570,41,4,,0.09461173009849455
1999,05570,36,2,,0.046210600762549445
2000,05570,39,3,,0.10789940157532597
2001,05570,28,5,0.19001101702952328,0.06469520162364199
2002,05570,37,12,-0.0012621588665555974,0.045991446544032887
2003,05570,18,0,-0.0330347857583532,0.08131931275451208
2004,05570,29,6,-0.1060846299410729,0.07637696133390828
2005,05570,26,2,0.0332468729105807,0.10428336923353079
2006,05570,12,0,0.0004922855095449985,0.10855151876811356
2007,05570,48,14,0.0432099671047288,0.04775406452863094
2008,05570,43,7,-0.1027228253817548,0.07154876612103174
2009,05570,19,0,-0.0216566959217316,0.09831034182204032
2010,05570,13,2,-0.1349090545935483,0.08105651825748404
2011,05570,30,4,-0.1222802832623722,0.062440827389443655
2012,05570,29,3,-0.026700989925140202,0.07445509215979015
2013,05570,21,3,-0.1232829740990555,0.036006498474900485
2014,05570,46,8,0.1553770698632006,0.05968968587407139
2015,05570,32,2,0.1055566110749314,0.06407559733646691
1981,05754,11,0,,
1982,05754,19,1,,
1983,05754,27,4,,
1984,05754,22,0,,
1985,05754,8,0,,
1986,05754,10,0,,
1987,05754,11,0,,
1988,05754,43,4,,
1989,05754,37,3,,0.06280909997068308
1990,05754,48,8,,0.016607132927229987
1991,05754,16,3,,0.0654104990894188
1992,05754,33,2,,0.18407380928359823
1993,05754,23,8,,0.054077985611510795
1994,05754,30,3,,0.00612755766040563
1995,05754,36,9,,0.062042171850289936
1996,05754,10,0,,0.5844804228509587
1997,05754,27,5,,0.03185642974787787
1998,05754,41,4,,0.08938070924739533
1999,05754,32,2,,0.0540459106737703
2000,05754,33,2,,0.08871104217098717
2001,05754,26,6,0.2123619279040993,0.08322668230277185
2002,05754,35,12,0.03075820725770089,0.04783005377975727
2003,05754,14,0,-0.0169071891591512,0.07381029401123947
2004,05754,26,7,-0.08104026145744711,0.08693750609696614
2005,05754,25,3,0.014463421569517899,0.07561476468758589
2006,05754,10,0,-0.026019786791563602,0.14088570301326625
2007,05754,46,13,0.0765685748780401,0.044952209773539926
2008,05754,39,6,-0.0789103837582319,0.06705099362259423
2009,05754,17,0,-0.1015535837784862,0.08655923137154929
2010,05754,12,2,-0.2177208182738284,0.09920184758201847
2011,05754,29,3,-0.0734783939415047,0.0706139140302056
2012,05754,28,2,-0.0291447564772121,0.06667878648874964
2013,05754,18,2,-0.086652761591423,0.04776495025130782
2014,05754,45,9,0.099427376038632,0.06733643473962725
2015,05754,28,3,0.1524385721777405,0.07501607374415065
2018,05754,27,1,0.20831376709287408,0.07110865413450762
2020,05754,50,14,0.1280083892667478,0.06524530137586905
2021,05754,30,2,0.1013456699971761,0.03216213961986569
2023,05754,35,11,0.09571282161709949,0.09662123484071239
1981,05758,13,0,,
1982,05758,19,1,,
1983,05758,28,3,,
1984,05758,23,0,,
1985,05758,9,0,,
1986,05758,10,0,,
1987,05758,10,0,,
1988,05758,41,3,,
1989,05758,40,2,,0.045241438099023895
1990,05758,48,5,,0.004328193659504904
1991,05758,17,2,,0.04090806825962846
1992,05758,32,1,,0.1708316713300763
1993,05758,23,7,,0.04325105370269459
1994,05758,30,3,,0.0031093077126377816
1995,05758,35,7,,0.045256845448910926
1996,05758,10,0,,0.41547764839893686
1997,05758,28,4,,0.03997510685572412
1998,05758,41,3,,0.10658623731315742
1999,05758,32,2,,0.05239587031611359
2000,05758,32,1,,0.1121994170746201
2001,05758,27,4,0.2450837295239845,0.06276712408323101
2002,05758,36,11,0.0575465698764463,0.03158864202313098
2003,05758,14,0,-0.0445163384683249,0.08924098361675524
2004,05758,26,5,-0.166972301442537,0.09506466168471354
2005,05758,26,2,0.051873737775135195,0.07645816548646989
2006,05758,11,0,-0.057158204706585995,0.16020361306797185
2007,05758,45,9,0.0582206398841384,0.03632185675411482
2008,05758,43,6,-0.11984776967345709,0.0545871919972997
2009,05758,17,0,-0.0190110609528012,0.09091328262214748
2010,05758,11,2,-0.2374519918745832,0.12621634678156415
2011,05758,28,3,-0.0940233058837527,0.07653880418059313
2012,05758,27,3,0.0011728851989502992,0.060436562639117015
2013,05758,17,2,-0.0833038336704971,0.04678709847496277
2014,05758,43,5,0.1112239206783057,0.05015974164724164
2015,05758,31,1,0.1638547856106761,0.07604571785429722
2017,05758,20,2,0.0813694621161147,0.06732495279826155
2018,05758,27,1,0.2413309857612189,0.04881175201675804
2019,05758,29,1,0.2158814538053001,0.0359999888854525
2020,05758,50,9,0.1417545901023808,0.05760913687572075
2021,05758,26,2,0.004476318489036804,0.01925137224136167
2023,05758,34,8,0.0873293913258294,0.07286643443212897
2024,05758,40,14,-0.17736955887678849,0.02726381971094962
1981,05762,5,0,,
1982,05762,14,0,,
1983,05762,22,2,,
1984,05762,11,0,,
1985,05762,5,0,,
1986,05762,9,0,,
1987,05762,6,0,,
1988,05762,28,3,,
1989,05762,28,2,,0.015997217709738703
1990,05762,41,3,,0.0026584962216122453
1991,05762,15,2,,0.04163559816612876
1992,05762,27,0,,0.12750431020122602
1993,05762,19,5,,0.03705951184123504
1994,05762,25,2,,0.003026826765623723
1995,05762,28,5,,0.044354046909746994
1996,05762,6,0,,13.2434435
1997,05762,20,2,,0.044797933513027854
1998,05762,38,1,,0.1203846291110745
1999,05762,28,2,,0.0692554056796504
2000,05762,29,1,,0.2036493907468948
2001,05762,23,3,0.2870871133256954,0.0894464428963479
2002,05762,30,7,0.0490576412480428,0.0464739814279288
2003,05762,12,0,-0.1221926058395387,0.12011639921036711
2004,05762,19,4,-0.0420840001080368,0.06739531535384313
2005,05762,21,1,0.030577353081521895,0.10796135265700481
2006,05762,8,0,-0.0797143144149648,0.28556617513858196
2007,05762,42,9,0.0815504493048264,0.037147109648810885
2008,05762,35,3,-0.0796311985170232,0.0473206060524292
2009,05762,11,0,-0.07646758828953261,0.09386702361991257
2010,05762,5,1,-0.1628321159053146,0.10806330113601847
2011,05762,19,3,-0.06667091236136531,0.06642432615985398
2012,05762,25,2,0.0083604567408379,0.05960490260576071
2013,05762,15,1,-0.1641090078578085,0.10317368785183112
2014,05762,38,3,0.12081821479406299,0.04251258691376492
2015,05762,19,1,0.1969642300348322,0.13761871204537873
2016,05762,26,4,0.1497556400675432,0.03992337684943429
2017,05762,13,1,0.0656051694133948,0.059913599682375536
2018,05762,19,0,0.09161596885817372,0.06257304259499784
2019,05762,26,1,0.1641807475581023,0.03395324977523931
2020,05762,42,7,0.197452275171414,0.09635534783941159
2021,05762,20,1,-0.03418777635186641,0.029596297969421294
2022,05762,35,4,0.1121493069614504,0.13889343684641267
2023,05762,33,4,-0.016387926977590297,0.0736828811216154
2024,05762,38,10,-0.12006161993685749,0.027149308175368165
1981,05766,8,0,,
1982,05766,18,0,,
1983,05766,25,2,,
1984,05766,19,0,,
1985,05766,6,0,,
1986,05766,9,0,,
1987,05766,8,0,,
1988,05766,37,3,,
1989,05766,34,2,,0.021769690232696013
1990,05766,44,3,,0.0025817111581556257
1991,05766,16,2,,0.02237138444854368
1992,05766,31,0,,0.10555986926931174
1993,05766,23,3,,0.027606878871785246
1994,05766,27,2,,0.0029396893336312217
1995,05766,31,5,,0.03822284797414408
1996,05766,9,0,,9.454272
1997,05766,23,2,,0.028965919482492466
1998,05766,39,1,,0.21966162769874514
1999,05766,30,2,,0.05189812132079208
2000,05766,30,1,,0.1769541535810944
2001,05766,25,5,0.29478851023621244,0.0983615413484263
2002,05766,31,8,0.0441472830141428,0.018391576341043308
2003,05766,12,0,-0.033893192734540396,0.05881537427153079
2004,05766,22,3,-0.1781286677200169,0.0868359872305606
2005,05766,24,0,0.0127401863618949,0.08297895891335527
2006,05766,8,0,-0.1121971447683669,0.251950900932982
2007,05766,44,10,0.0261475391880055,0.03172106542145138
2008,05766,37,3,-0.052707736259601,0.04386882023858255
2009,05766,15,0,-0.0770809222213609,0.08479714134948493
2010,05766,9,2,-0.2041845984061531,0.10745003447432218
2011,05766,24,2,-0.12224773519305208,0.06218863263389762
2012,05766,25,2,0.0373821531556445,0.05526507107548803
2013,05766,18,2,-0.1383973623198635,0.0366198280076829
2014,05766,42,2,0.09315929652350569,0.049130367495127114
2015,05766,26,1,0.14583296596931938,0.06854119606067541
2016,05766,28,3,0.048121866859716,0.0217663214158082
2017,05766,17,1,0.020330125794569304,0.03956943638556574
2018,05766,21,0,0.19281802736754738,0.03420862078564731
2019,05766,30,1,0.246439950259576,0.02023062048137641
2020,05766,45,8,0.1798791922389255,0.07658845959759586
2021,05766,21,1,0.1138209028510839,0.016677196010274113
2022,05766,42,4,0.0816308875482727,0.07037218680889813
2023,05766,33,4,0.10391533761924421,0.053089037666319734
2024,05766,39,8,-0.1280773653647051,0.025315952578894366
1981,05770,19,0,,
1982,05770,20,1,,
1983,05770,32,4,,
1984,05770,23,0,,
1985,05770,9,0,,
1986,05770,12,0,,
1987,05770,13,0,,
1988,05770,45,3,,
1989,05770,42,2,,0.05234084443370564
1990,05770,49,6,,0.013853394441849602
1991,05770,22,2,,0.059827702832887214
1992,05770,34,1,,0.18823422730324252
1993,05770,26,7,,0.038847178449231363
1994,05770,32,3,,0.0031093077126377816
1995,05770,37,8,,0.05975463188418629
1996,05770,11,0,,0.6114695101885838
1997,05770,32,4,,0.03471218981402974
1998,05770,42,3,,0.10034235098726703
1999,05770,36,2,,0.043010143208385455
2000,05770,38,2,,0.10886681103862922
2001,05770,29,4,0.2328330555596342,0.07548625261341387
2002,05770,40,11,0.0338558815626008,0.044595127552432064
2003,05770,15,0,-0.07642096875293819,0.11951287788147912
2004,05770,30,6,-0.1477457437238295,0.10362826902546897
2005,05770,28,2,0.0854418920714376,0.09973318219588859
2006,05770,13,0,-0.0626563481174296,0.2000480398415596
2007,05770,47,9,0.1125377028702932,0.0448379065282291
2008,05770,44,6,-0.0812642783728201,0.0646198717358618
2009,05770,18,0,0.020936394364331902,0.07348541029043994
2010,05770,13,2,-0.2565814235459024,0.09971534795665231
2011,05770,28,4,-0.1410145664252146,0.07660880471112526
2012,05770,29,3,-0.013507660772757201,0.06779548071166511
2013,05770,20,2,-0.0864534970909052,0.044586104103233284
2014,05770,44,7,0.11175503301043699,0.07012180782180781
2015,05770,31,1,0.1723906961294051,0.07588371341817948
1981,05774,12,0,,
1982,05774,21,0,,
1983,05774,26,3,,
1984,05774,22,0,,
1985,05774,9,0,,
1986,05774,11,0,,
1987,05774,12,0,,
1988,05774,46,4,,
1989,05774,39,3,,0.03498257780550357
1990,05774,49,5,,0.005360966916616713
1991,05774,18,3,,0.04070892185631996
1992,05774,34,3,,0.1502371504105893
1993,05774,25,8,,0.03290740093993284
1994,05774,29,3,,0.0027781867886105456
1995,05774,38,6,,0.04546479556047873
1996,05774,14,0,,16.336981
1997,05774,32,4,,0.040284993635377866
1998,05774,40,3,,0.12449994442446632
1999,05774,33,3,,0.07705683881518807
2000,05774,33,2,,0.12586204279404828
2001,05774,27,4,0.2519840770591451,0.0727274175006125
2002,05774,36,12,-0.016521136155060203,0.030731533236833315
2003,05774,18,0,-0.0250344883883188,0.08003781880156254
2004,05774,26,7,-0.0071816067025753,0.08639683026809007
2005,05774,26,2,-0.0826513372433546,0.058510700380555634
2006,05774,12,0,-0.07384648868948221,0.13326432601880878
2007,05774,46,11,0.074313655912998,0.03124347935433719
2008,05774,42,4,-0.0791043483864183,0.04862622890364614
2009,05774,20,0,-0.0922406456091709,0.07147339104332477
2010,05774,14,2,-0.12478344561814,0.09774680128742118
2012,05774,29,2,-0.015135092186148802,0.08643607344806727
2013,05774,19,2,-0.20378263869672408,0.054220153626098555
2014,05774,47,4,0.137985870029884,0.04300315224126066
2015,05774,29,3,0.1735037016237126,0.10130578596205525
2016,05774,35,5,0.12094399963118779,0.029885771332492643
1983,05914,22,2,,
1987,05914,10,0,,
1987,05954,11,0,,
1990,05954,42,5,,0.002146991635320589
1983,05958,14,0,,
1985,05958,4,0,,
